news_id,published_at,title,summary,media_name,url,article_type,source,fetched_at,content_hash,positive_terms,negative_terms,uncertain_terms,information_trade_date
N-202604173709138680,2026-04-17 18:47:57,低空经济“国家队”集结：万亿元蓝海锚定国资增长新一极,例如，央企联合成立低空经济创新联合体；再例如四川、重庆等地，由央企牵头联合地方国资，成立低空经济运营平台，统筹区域内基础设施、装备、运营、监管资源，打造出可复制、可推广的区域低空经济发展范式。 在场景规模化应用层面，央企正推动低空经济从“小众示范”走向“大众实用”。,华夏时报网,http://finance.eastmoney.com/a/202604173709138680.html,industry_commentary,eastmoney_search,2026-06-15T14:24:38.363630+00:00,31a887407be09dd66aa2eb84a236659b28870523652b2276a303cdabc3dcdc63,2,0,0,2026-04-20
N-202604173709653421,2026-04-17 19:18:06,“十五五”低空经济发展方向明确，发改委回应飞行活动审批难,今年2月，国家市场监督管理总局等10部门《低空经济标准体系建设指南（2025年版）》对外发布，明确提出力争到2027年，低空经济标准体系基本建立，基本满足低空经济安全健康发展需求；到2030年，低空经济领域标准超过300项，结构优化、先进合理、国际兼容的低空经济标准体系基本形成。,第一财经,http://finance.eastmoney.com/a/202604173709653421.html,industry_commentary,eastmoney_search,2026-06-15T14:24:38.362615+00:00,1414cd62bb079b53f49560b10e57a3f79df1b9771a101508391018b9ba24f24e,0,0,0,2026-04-20
N-202604173709656888,2026-04-17 20:56:00,深圳市发改委与澳门特区政府低空经济发展工作组开展低空经济交流,市政府副秘书长罗育德，市发展改革委党组成员、副主任朱云会见来深调研的邱润华局长一行，双方就深化深澳低空经济合作、加快推进跨境无人机物流运输试点工作进行交流。,人民财讯,http://finance.eastmoney.com/a/202604173709656888.html,industry_commentary,eastmoney_search,2026-06-15T14:24:36.733990+00:00,5626d25d38997e17354a1cdaf3df3b3d52d38f7daea85b904ac81a025efaed2b,0,0,0,2026-04-20
N-202604173709291062,2026-04-17 21:15:01,深圳市发展和改革委员会与澳门特区政府低空经济发展工作组开展低空经济交流,调研期间，澳方深入调研了市公安局警航支队，招商蛇口公司、中国铁塔深圳公司、大疆创新、东部通航及丰翼科技公司等，对深圳市在低空经济的研发智造、运营管理及安防监控等方面均给予高度评价，表示将进一步深化深澳低空经济科技创新与产业发展合作，积极发挥澳门联系葡语国家桥梁优势助力深圳企业“走出去,界面新闻,http://finance.eastmoney.com/a/202604173709291062.html,industry_commentary,eastmoney_search,2026-06-15T14:24:36.733990+00:00,e4b424f1bcf9a290103c8d288a8c1f0843131fd44b34b86e20d40942a1c255f5,2,0,0,2026-04-20
N-202604173709313734,2026-04-17 21:51:32,【财经分析】央企担当“耐心资本”入局 万亿低空经济发展或再提速,新华财经北京4月17日电（记者沈寅飞）近日，国务院国资委召开中央企业低空经济产业发展专题推进会，明确国资央企要在严控风险、确保安全的前提下，坚持因地制宜、稳妥有序推动低空经济高质量发展，当好发展低空经济的长期资本、战略资本、耐心资本，并发布《中央企业低空经济产业发展白皮书》。,新华财经,http://finance.eastmoney.com/a/202604173709313734.html,industry_commentary,eastmoney_search,2026-06-15T14:24:38.362615+00:00,b005a4b334a3ee400f0e505d7e2e5e88f75d515935951ca1ebe0782888f4bb66,0,1,0,2026-04-20
N-202604203710055198,2026-04-20 07:38:30,发改委：因地制宜推动低空经济安全健康发展 加强无人驾驶航空器管控,因地制宜推动低空经济安全健康发展，加强无人驾驶航空器管控。完善生物安全风险防控体制，加强对生物技术研究、开发与应用活动的安全管理。,界面新闻,http://finance.eastmoney.com/a/202604203710055198.html,industry_commentary,eastmoney_search,2026-06-15T14:24:36.732990+00:00,924512271f0b2ef212f8ab00b8e009217e591c3f264f64abaf1d061b09e1a856,0,1,0,2026-04-21
N-202604203710292260,2026-04-20 09:56:17,郑栅洁：因地制宜推动低空经济安全健康发展，加强无人驾驶航空器管控,因地制宜推动低空经济安全健康发展，加强无人驾驶航空器管控。完善生物安全风险防控体制，加强对生物技术研究、开发与应用活动的安全管理。,中国证券报·中证金牛座,http://finance.eastmoney.com/a/202604203710292260.html,industry_commentary,eastmoney_search,2026-06-15T14:24:36.733990+00:00,61d51eb2f7b9f0f0762e599b3944894f0ef161ce4a9497bd59237440aa2f4bc5,0,1,0,2026-04-21
N-202604203710471144,2026-04-20 13:40:26,低空经济白皮书发布，通用航空ETF华夏（159230）涨近3%，有望迎估值业绩双重提升,消息面上，4月15日，国务院国资委召开央企低空经济产业发展专题推进会，发布《中央企业低空经济产业发展白皮书》，强调发展低空经济是战略举措和迫切需要。,每日经济新闻,http://stock.eastmoney.com/a/202604203710471144.html,industry_commentary,eastmoney_search,2026-06-15T14:24:38.051110+00:00,27d1a2149ba30f7f00c5eed122061be7ce775183d9268f87a18d03476da9315e,0,0,1,2026-04-21
N-202604203710758571,2026-04-20 17:48:28,低空经济政策红利逐步释放，南方基金旗下通用航空ETF南方(159283)跟踪标的指数中证通用航空主题指数(931855.CSI) 涨4.05%,随着低空经济相关支持政策的逐步落地，通用航空作为低空经济的核心组成部分，在交通网络建设、应急救援、城市服务等场景的应用需求不断释放，行业发展空间广阔。资本的加速流入将进一步推动技术创新和基础设施建设，为通用航空产业的规模化发展奠定坚实基础，行业景气度有望持续提升。,财联社,http://stock.eastmoney.com/a/202604203710758571.html,fundamental_event,eastmoney_search,2026-06-15T14:24:38.363630+00:00,5c1d90b77b4e50ea9f1c43afb19bc51288297013f18eb4352017725a198bf222,2,0,1,2026-04-21
N-202604203711231068,2026-04-20 18:23:12,低空经济政策红利逐步释放，南方基金旗下通用航空ETF南方(159283)跟踪标的指数中证通用航空主题指数(931855.CSI)涨4.05%,随着低空经济相关支持政策的逐步落地，通用航空作为低空经济的核心组成部分，在交通网络建设、应急救援、城市服务等场景的应用需求不断释放，行业发展空间广阔。资本的加速流入将进一步推动技术创新和基础设施建设，为通用航空产业的规模化发展奠定坚实基础，行业景气度有望持续提升。,界面新闻,http://stock.eastmoney.com/a/202604203711231068.html,fundamental_event,eastmoney_search,2026-06-15T14:24:38.362615+00:00,6ce1d1f2c3c57d333a79887c992922b790c3eafcd268fad77f6378f6b65ca4fd,2,0,1,2026-04-21
N-202604203711104958,2026-04-20 22:01:27,高德刘振飞：低空经济是空间认知革命，助力交通出行从“二维地面”进入“三维立体”,高德将与清华大学、航天九院在低空经济基础设施共建、行业平台共享、技术成果转化应用等方面开展深度协同，共同推动低空经济生态建设。,中国新闻网,http://finance.eastmoney.com/a/202604203711104958.html,industry_commentary,eastmoney_search,2026-06-15T14:24:36.733990+00:00,690a6a2b93aebcaa33a9fc87ad1420a6630ac82d215753f6ee8adc1cbee89e44,0,0,0,2026-04-21
N-202604203711136764,2026-04-20 22:40:33,华昌达：工业机器人应用场景已深度覆盖汽车、新能源汽车、工程机械、仓储物流、光伏、锂电、低空经济等领域,在工业制造中实现焊接、喷涂与涂胶、加工、上下料、装配与拆卸、码垛与拆垛、搬运与分拣、检测与质量控制等功能，并通过与各类设备的智能化协同联动，为客户提供一体化智能制造解决方案，助力其实现生产流程中高度复杂的智能化作业，应用场景已深度覆盖汽车、新能源汽车、工程机械、仓储物流、光伏、锂电、低空经济,每日经济新闻,http://finance.eastmoney.com/a/202604203711136764.html,fundamental_event,eastmoney_search,2026-06-15T14:24:38.362615+00:00,5dce56881bc3c147a77497d50311cc91cbb7149f6523fc13d0b0b814f23d4f1e,0,0,0,2026-04-21
N-202604213711276252,2026-04-21 06:01:50,补短板让低空经济“飞”更稳,《低空经济标准体系建设指南（2025年版）》发布，职业教育将重点增设低空经济、人工智能等领域新专业，湖北武汉经开区打造全省示范性低空经济综合试验区……一段时间以来，关于低空经济的举措不断。,经济日报,http://finance.eastmoney.com/a/202604213711276252.html,industry_commentary,eastmoney_search,2026-06-15T14:24:35.833081+00:00,5ca29e6d2a36ddee5c1e7b3b5768f633bf3627eba3def638bb83e47ec5b4d2aa,0,0,0,2026-04-22
N-202604213711994052,2026-04-21 10:20:00,中设股份：锚定低空经济赛道布局新质生产力,以数智技术为核心底座，中设股份持续破解低空经济发展核心痛点。未来，中设股份将持续深耕低空经济全领域，整合产业资源，孵化产业新业态，助力区域打造国家级低空经济创新示范基地，以创新业务突破赋能企业长期高质量发展。,证券时报网,http://finance.eastmoney.com/a/202604213711994052.html,industry_commentary,eastmoney_search,2026-06-15T14:24:36.116977+00:00,8d01fb8a4c0546d749aea55115d85fc76b57b2592d6539a998c1f996b2229407,3,0,0,2026-04-22
N-202604213712022528,2026-04-21 11:08:37,低空经济政策催化不断！这家公司持续优化eVTOL产品平台 已获国内外头部企业多个项目定点！,低空经济领域近期政策催化不断。 近日，国务院国资委召开中央企业低空经济产业发展专题推进会。会议要求，国资央企要强化统筹推动，加强规划引领，加大投资力度，当好发展低空经济的长期资本、战略资本、耐心资本；加强关键核心技术攻关，提升行业共性技术供给能力。,人民财讯,http://finance.eastmoney.com/a/202604213712022528.html,fundamental_event,eastmoney_search,2026-06-15T14:24:36.733990+00:00,5ec569637af3710349910622f4ca685d57db2625c673d197dc47e0fa3aafd84b,0,0,0,2026-04-22
N-202604213712382196,2026-04-21 17:05:32,低空经济的“冰与火之歌”：股价回落，产业进阶,从中央到地方，支持低空经济的政策正密集落地，产业链上下游的上市公司也交出了实质性的成绩单。这背后，或许是低空经济相关公司正从一个充满想象力的概念股，逐步走向具备清晰商业模式的成长股。 从“长期资本”到“健康有序” 低空经济的发展，离不开顶层设计的强力推动。,21世纪经济报道,http://finance.eastmoney.com/a/202604213712382196.html,fundamental_event,eastmoney_search,2026-06-15T14:24:35.833081+00:00,69ab7b05f3d09ea4df071cedaa1a4a680f8d4fcf5ab344b3b469e99c7483c58a,1,0,0,2026-04-22
N-202604213712478888,2026-04-21 17:31:00,向“新”而行 “万亿级”低空经济乘势起飞,2025年12月，国家市场监督管理总局等10部门联合印发《低空经济标准体系建设指南（2025年版）》，明确到2027年，低空经济标准体系基本建立，基本满足低空经济安全健康发展。地方层面，上海、重庆、深圳、安徽、江苏等多地密集出台政策，支持低空经济发展。,人民网,http://finance.eastmoney.com/a/202604213712478888.html,fundamental_event,eastmoney_search,2026-06-15T14:24:35.833081+00:00,03aa7f23c698a570320e0b9fb617a68615bfbe6907b43eee8dd17cf49acfdb47,1,0,0,2026-04-22
N-202604213712594812,2026-04-21 19:30:00,长阳科技：公司固态或半固态电池用电解质复合膜基膜已获低空经济行业国内外头部电池客户的订单,证券日报网讯 4月21日，长阳科技在互动平台回答投资者提问时表示，公司固态或半固态电池用电解质复合膜基膜（俗称骨架膜）已获低空经济行业国内外头部电池客户的订单，收入金额较小，短期内不会对公司经营业绩产生重大影响，敬请投资者注意投资风险。,证券日报,http://finance.eastmoney.com/a/202604213712594812.html,fundamental_event,eastmoney_search,2026-06-15T14:24:38.051110+00:00,c57ebd72e5fdca2246ede7347c6eb517a2d2a08a1c957fe2a2e3e388f04b801a,0,1,0,2026-04-22
N-202604213712605997,2026-04-21 19:45:36,国资委划定路线图，央企加快打造低空经济产业集群,国资委为中央企业发展低空经济划定路线图和任务书。 国务院国资委日前召开中央企业低空经济产业发展专题推进会，进一步研究谋划中央企业发展低空经济的工作思路和具体举措，推动中央企业在低空经济领域实现更好发展、发挥更大作用，为现代化产业体系建设提供更加有力支撑。,第一财经,http://finance.eastmoney.com/a/202604213712605997.html,industry_commentary,eastmoney_search,2026-06-15T14:24:36.116977+00:00,a6b53ac18faec3d4f1d5dda7c7ec590166112bb7f68a9c2b9d7bf941a87b4b8e,0,0,0,2026-04-22
N-202604223713284367,2026-04-22 08:10:00,中信证券：低空经济“整装待发”指令已明确 万亿蓝海启航在即,人民财讯4月22日电，中信证券研报称，国务院国资委新闻中心发布消息，4月15日，国务院国资委召开中央企业低空经济产业发展专题推进会，进一步研究谋划中央企业发展低空经济的工作思路和具体举措，推动中央企业在低空经济领域实现更好发展、发挥更大作用，为现代化产业体系建设提供更加有力支撑。,人民财讯,http://finance.eastmoney.com/a/202604223713284367.html,industry_commentary,eastmoney_search,2026-06-15T14:24:36.116977+00:00,04babc306d27c11f21d1ee52d000e4d3832009f334d7654015894e1cbafefe9a,0,0,0,2026-04-23
N-202604223713275141,2026-04-22 08:14:40,中信证券：低空经济“整装待发”指令已明确 万亿蓝海启航在即,中信证券研报称，国务院国资委新闻中心发布消息，4月15日，国务院国资委召开中央企业低空经济产业发展专题推进会，进一步研究谋划中央企业发展低空经济的工作思路和具体举措，推动中央企业在低空经济领域实现更好发展、发挥更大作用，为现代化产业体系建设提供更加有力支撑。,界面新闻,http://finance.eastmoney.com/a/202604223713275141.html,industry_commentary,eastmoney_search,2026-06-15T14:24:36.116977+00:00,2368e58b8ec9d2fbe7011a9d164b47dbc75a27d78f76ab2b63b7cccc02b954af,0,0,0,2026-04-23
N-202604223713282054,2026-04-22 08:18:51,中信证券：低空经济“整装待发”的指令已明确，万亿蓝海启航在即,【大河财立方消息】4月22日，中信证券研报指出，国务院国资委日前召开中央企业低空经济产业发展专题推进会，深入学习贯彻习近平总书记关于发展新质生产力的重要论述，贯彻落实党中央、国务院决策部署，进一步研究谋划中央企业发展低空经济的工作思路和具体举措，推动中央企业在低空经济领域实现更好发展,大河财立方,http://finance.eastmoney.com/a/202604223713282054.html,industry_commentary,eastmoney_search,2026-06-15T14:24:36.116977+00:00,0f316f71243fd4d910fabcf13e63f97ad6d569e7a6519f5eb62145f89922467b,0,0,0,2026-04-23
N-202604223714804880,2026-04-22 08:30:55,中信证券：低空经济“整装待发”指令已明确 万亿蓝海启航在即,每经AI快讯，4月22日，中信证券研报称，低空经济是全球战略性的新兴产业，在我国相关政策的持续加持下，未来发展潜力巨大。中信证券认为，低空经济“整装待发”的指令已经明确，万亿蓝海启航在即。,每日经济新闻,http://finance.eastmoney.com/a/202604223714804880.html,fundamental_event,eastmoney_search,2026-06-15T14:24:36.116977+00:00,aa1acd116bdaf5886baf6267dccdce1d1b5db44a1a4cfd63746383dc9f8412b7,0,0,0,2026-04-23
N-202604223713817064,2026-04-22 09:12:00,机构：低空经济未来发展潜力巨大,各省市均密集出台了各类支持低空经济发展的政策文件，主要围绕政策支持保障、应用场景拓展、装备制造研发、技术融合创新、运营服务体系、基础设施建设等方面展开。未来各地还会将低空经济纳入其“十五五”发展规划。各省市根据自身产业基础和资源禀赋，制定低空经济差异化发展路径。,证券时报网,http://finance.eastmoney.com/a/202604223713817064.html,fundamental_event,eastmoney_search,2026-06-15T14:24:35.196309+00:00,caae7b58964c7dc8e72f9f9f56780415e6321ce7f24e414c7e20f090e572c5ef,3,0,0,2026-04-23
N-202604223713788053,2026-04-22 10:00:00,中信证券：低空经济万亿蓝海启航在即,国务院国资委近日召开中央企业低空经济产业发展专题推进会，进一步研究谋划中央企业发展低空经济的工作思路和具体举措。会议要求，国资央企要在严控风险、确保安全的前提下，坚持因地制宜、稳妥有序推动低空经济高质量发展。,证券时报网,http://finance.eastmoney.com/a/202604223713788053.html,industry_commentary,eastmoney_search,2026-06-15T14:24:35.513273+00:00,26bae63870b34a6f364ac020073249f70c8982dcdb16720a6979913590e32058,0,1,0,2026-04-23
N-202604233714868884,2026-04-23 07:00:00,低空经济的“冰与火之歌”：股价回落，产业进阶,从中央到地方，支持低空经济的政策正密集落地，产业链上下游的上市公司也交出了实质性的成绩单。这背后，或许是低空经济相关公司正从一个充满想象力的概念股，逐步走向具备清晰商业模式的成长股。,21世纪经济报道,http://finance.eastmoney.com/a/202604233714868884.html,fundamental_event,eastmoney_search,2026-06-15T14:24:35.513273+00:00,66d29f26a8cd07bb8bc1db26844a8ef8aa9a5adb2cc6563a032ab87a3d157b17,1,0,0,2026-04-24
N-202604233715679661,2026-04-23 10:28:51,“氢燃料涡桨”全球首飞，航发动力涨超6%！航发集团抢占低空经济先机,氢燃料航空发动机技术有望率先在空中无人货运、海岛物流等低空经济领域展开应用，并逐步拓展至载人支线、干线飞机。,每日经济新闻,http://stock.eastmoney.com/a/202604233715679661.html,industry_commentary,eastmoney_search,2026-06-15T14:24:36.116977+00:00,d58cda8be0d4c8f2ad3f3b5757de9968d747fda9afd07704a0aa4bea75c6a012,0,0,1,2026-04-24
N-202604233716022611,2026-04-23 14:40:06,低空经济成新兴支柱产业，通用航空ETF华夏（159230）盘中转跌,消息面上，近日，国务院国资委召开中央企业低空经济产业发展专题推进会，深入学习贯彻关于发展新质生产力的重要论述，进一步研究谋划中央企业发展低空经济的工作思路和具体举措，推动中央企业在低空经济领域实现更好发展、发挥更大作用，为现代化产业体系建设提供更加有力支撑。,每日经济新闻,http://stock.eastmoney.com/a/202604233716022611.html,industry_commentary,eastmoney_search,2026-06-15T14:24:35.833081+00:00,2b20567ed32c6b66be13f333370f60ff2933a8d3569948c7a9e5a8630adc15f6,0,0,0,2026-04-24
N-202604233716043425,2026-04-23 16:35:53,交控科技：中国低空经济联盟被取缔对公司低空业务无不利影响,每经AI快讯，有投资者在投资者互动平台提问：请问中国低空经济联盟被取缔，是否对贵公司低空业务有不利影响？ 交控科技（688015.SH）4月23日在投资者互动平台表示，中国低空经济联盟被取缔对公司低空业务无不利影响。,每日经济新闻,http://finance.eastmoney.com/a/202604233716043425.html,industry_commentary,eastmoney_search,2026-06-15T14:24:35.833081+00:00,c5505681b74496ea22da3fbce4fc8bed74671c63cddad323c4ffde7874cf3bf4,0,0,0,2026-04-24
N-202604233716043025,2026-04-23 16:36:14,纵横股份：目前公司业务有序推进，低空经济领域发展态势良好,目前公司业务有序推进，低空经济领域发展态势良好，一季度具体业绩请以公司后续披露的定期报告为准。,每日经济新闻,http://finance.eastmoney.com/a/202604233716043025.html,industry_commentary,eastmoney_search,2026-06-15T14:24:35.513273+00:00,55aee377555ddef21f0dd75d9cc8026d2ca65c721f94753e6c0bce468f7b800d,0,0,0,2026-04-24
N-202604233716043523,2026-04-23 16:36:42,交控科技：公司曾为中国低空经济联盟副理事长单位，该联盟相关组织已于2025年8月终止运行,每经AI快讯，交控科技（688015.SH）4月23日在投资者互动平台表示，公司曾为中国低空经济联盟副理事长单位，该联盟相关组织已于2025年8月终止运行。,每日经济新闻,http://finance.eastmoney.com/a/202604233716043523.html,industry_commentary,eastmoney_search,2026-06-15T14:24:36.412409+00:00,d9ca24f939c5a007cc45b321e2db87ab4f69810f05ef240924b27e1e43ebda1e,0,2,0,2026-04-24
N-202604233716450014,2026-04-23 20:05:00,交控科技：中国低空经济联盟被取缔对公司低空业务无不利影响,证券日报网讯 4月23日，交控科技在互动平台回答投资者提问时表示，中国低空经济联盟被取缔对公司低空业务无不利影响。,证券日报,http://finance.eastmoney.com/a/202604233716450014.html,industry_commentary,eastmoney_search,2026-06-15T14:24:35.833081+00:00,a26bdfaa34d3f0a4daaf37fbff9f61faec26c0e69a4836822b694bea4f2ad690,0,0,0,2026-04-24
N-202604233716450124,2026-04-23 20:05:00,交控科技：公司曾为中国低空经济联盟副理事长单位,证券日报网讯 4月23日，交控科技在互动平台回答投资者提问时表示，公司曾为中国低空经济联盟副理事长单位，该联盟相关组织已于2025年8月终止运行。,证券日报,http://finance.eastmoney.com/a/202604233716450124.html,industry_commentary,eastmoney_search,2026-06-15T14:24:35.513273+00:00,b5a11e23cc9882e5891e38a7a3d3c31a77387f6b59d3be25f02a3b46fff15922,0,1,0,2026-04-24
N-202604233716524854,2026-04-23 21:15:55,一季度净利“变脸”锐减近七成，爱玛科技盘中跌停 进军低空经济能否化解增长焦虑？,低空经济作为近年来备受关注的战略性新兴产业，其市场规模被寄予厚望。国家发展改革委成立低空经济发展司负责顶层设计，中国民航局官网援引专业机构测算称，到2030年我国低空经济规模有望达到2万亿元。 不过，这条“新增长曲线”仍处于战略探索阶段。,每日经济新闻,http://finance.eastmoney.com/a/202604233716524854.html,industry_commentary,eastmoney_search,2026-06-15T14:24:35.833081+00:00,95cc5de4ae248757262d564acb1cd294da5b16ddd494c69fe5e4c49d9308f18d,2,0,2,2026-04-24
N-202604233716714237,2026-04-23 21:22:18,聚焦多场景应用 多个低空经济合作平台落户佛山南海,随着低空经济加速从概念走向应用，运载无人机正成为产业关注的新方向。近日，聚焦农林牧渔、应急救援、电力运维等低空场景应用，佛山南海同步启动了广东省大疆无人机培训中心、低空经济应用合作等多个平台，为广东低空经济产业生态建设注入新动能。,21世纪经济报道,http://biz.eastmoney.com/a/202604233716714237.html,industry_commentary,eastmoney_search,2026-06-15T14:24:35.513273+00:00,9405d7ef1b2988b2a594b596d70c5cd7c7880b429b314e7147168c3a92d4d9b2,0,0,0,2026-04-24
N-202604233716593257,2026-04-23 21:41:39,2025年业绩扭亏为盈 大名城以“6G+低空经济+算力”构建增长新引擎,2025年大名城加速向科技领域转型，通过布局6G通信、低空经济、算力运营三大赛道，试图构建“空天地一体化”产业生态。,上海证券报·中国证券网,http://finance.eastmoney.com/a/202604233716593257.html,industry_commentary,eastmoney_search,2026-06-15T14:24:35.833081+00:00,5368ed74e52c06f80c8a7bbbd27cf33a587e298f7f41e3b4577bac0878c371b1,1,0,0,2026-04-24
N-202604243716766547,2026-04-24 02:59:58,上游卡位布局 低空经济商业化静待规模化拐点,报告期内，公司低空经济业务新签合同额2376万元。 商业化仍在“等风来” 当前，多数企业的低空经济业务仍处于布局、研发及试点阶段。,上海证券报,http://finance.eastmoney.com/a/202604243716766547.html,fundamental_event,eastmoney_search,2026-06-15T14:24:35.196309+00:00,74bd4fbc757c2bce5d91a1ee8eebb3ac1bc1207330c1331434485be450243da9,0,0,0,2026-04-27
N-202604243717983921,2026-04-24 16:19:00,资本加码入局、产业生态成形，广东竞逐低空经济万亿蓝海,国家发展改革委低空经济发展司司长郑剑表示，推动低空经济实现“管得好、飞得稳、用得活”，并提出加大大载重固定翼无人机、长航时垂直起降航空器等新型航空器的研制。,21世纪经济报道,http://finance.eastmoney.com/a/202604243717983921.html,industry_commentary,eastmoney_search,2026-06-15T14:24:34.899188+00:00,25679a8a0d6e387a2852f2f52b4b9168174edb2a96355fd178f7d35d5a6a7e8b,0,0,0,2026-04-27
