event_id,art_code,ts_code,name,event_date,event_type,direction,relevance_score,domain_hits,title,evidence_span,event_chain_id,is_progress_update,confidence,extraction_method,review_status,eligible_for_labeling,information_trade_date
C-AN202106171498393365,AN202106171498393365,002389.SZ,航天彩虹,2021-06-17,project_investment,positive,0.5,"[""无人机""]",航天彩虹:关于《中国证监会行政许可项目审查一次反馈意见通知书》之反馈意见回复修订的公告,"证券代码：002389   证券简称：航天彩虹     公告编号：2021-034

           航天彩虹无人机股份有限公司
 关于《中国证监会行政许可项目审查一次反馈意见通知书》

              之反馈意见回复修订的公告


    本公司及董事会全体成员保证信息披露内容真实、准确和完整，

 没有虚假记载、误导性陈述或重大遗漏。",5d48ec3c84c2bc,False,0.55,rule_baseline,pending_human_review,True,2021-06-18
C-AN202106161498304882,AN202106161498304882,688070.SH,纵横股份,2021-06-17,strategic_cooperation,positive,0.5,"[""无人机""]",688070:关于与华鹏飞股份有限公司签订战略合作框架协议的自愿性披露公告,"重要内容提示:

   履约的风险和重大不确定性：本次签署的《战略合作框架协议》（以下
简称“《框架协议》”）属于框架性约定，确立了双方战略合作伙伴关系，为双
方推进具体项目合作奠定了基础，但双方后续的合作以具体签订的协议为准，具
体实施内容和进度尚存在不确定性。",de931673d8cb4f,False,0.55,rule_baseline,pending_human_review,True,2021-06-18
C-AN202106211499138833,AN202106211499138833,002085.SZ,万丰奥威,2021-06-22,project_investment,positive,0.75,"[""低空"", ""机场"", ""空管"", ""航空器"", ""通用航空"", ""通航"", ""飞行""]",万丰奥威:关于奥地利钻石设立全资子公司并投资年产220架钻石飞机项目的公告,"国务院先后发布《关于加快培
育和发展战略性新兴产业的决定》、《关于深化我国低空空域管理改革的意见》、《关
于促进通用航空业发展的指导意见》、《中国民用航空发展第十三个五年规划》等政
策，到 2025 年，通用航空飞行总量、机队数量、通用机场、飞行员数量均达到一定
规模，公共服务业务加快提升，新兴消费不断增强，发展结构不断优化。",b99d44e10e8d01,False,0.55,rule_baseline,pending_human_review,True,2021-06-23
C-AN202106301500933872,AN202106301500933872,000099.SZ,中信海直,2021-07-01,project_investment,positive,0.6000000000000001,"[""机场"", ""直升机"", ""通用航空""]",中信海直:关于设立公司债券信息披露事务负责人的公告,"证券代码：000099       证券简称：中信海直   公告编号：2021-024




               中信海洋直升机股份有限公司
     关于设立公司债券信息披露事务负责人的公告

  本公司及董事会全体成员保证信息披露的内容真实、准确和完整，没有虚
假记载、误导性陈述或重大遗漏。",c694e443cec4d9,False,0.55,rule_baseline,pending_human_review,True,2021-07-02
C-AN202107211505194036,AN202107211505194036,000099.SZ,中信海直,2021-07-22,government_support,positive,1.0,"[""直升机"", ""通用航空"", ""通航""]",中信海直:关于控股子公司海直通航获得2021年通用航空发展专项资金的公告,"证券代码：000099      证券简称：中信海直      公告编号：2021-027




               中信海洋直升机股份有限公司
               关于控股子公司海直通航获得
         2021 年通用航空发展专项资金的公告
  本公司及董事会全体成员保证信息披露的内容真实、准确和完整，没有虚
假记载、误导性陈述或重大遗漏。",a7ed070fd59752,False,0.55,rule_baseline,pending_human_review,True,2021-07-23
C-AN202107221505426882,AN202107221505426882,002389.SZ,航天彩虹,2021-07-23,strategic_cooperation,positive,1.0,"[""低空"", ""无人机"", ""机场"", ""通用航空"", ""通航"", ""飞行""]",航天彩虹:关于与长沙市人民政府签署《彩虹无人机通用航空产业化项目合作框架协议》的公告,"证券代码：002389    证券简称：航天彩虹   公告编号：2021-044

              航天彩虹无人机股份有限公司
              关于与长沙市人民政府签署
 《彩虹无人机通用航空产业化项目合作框架协议》的公告

   本公司及董事会全体成员保证信息披露内容真实、准确和完整，
没有虚假记载、误导性陈述或重大遗漏。",3d38628d8b9e98,False,0.55,rule_baseline,pending_human_review,True,2021-07-26
C-AN202108201511232306,AN202108201511232306,600038.SH,中直股份,2021-08-21,market_risk,negative,0.7500000000000001,"[""直升机""]",600038:中航直升机股份有限公司股票交易异常波动公告,"（二）重大事项情况
  经本公司自查并向控股股东中国航空科技工业股份有限公司和
实际控制人中国航空工业集团有限公司书面函证，截至本公告披露日，
公司、控股股东和实际控制人均不存在影响公司股票交易异常波动的
重大事项及应披露而未披露的重大信息，包括但不限于重大资产重组、
股份发行、收购、债务重组、业务重组、资产剥离、资产注入、股份
回购、股权激励、破产重整、重大业务合作和引进战略投资者等情形。",fcd90127487f82,False,0.55,rule_baseline,pending_human_review,True,2021-08-23
C-AN202109061514610603,AN202109061514610603,002389.SZ,航天彩虹,2021-09-07,project_investment,positive,0.5,"[""无人机""]",航天彩虹:关于投资年产1.4亿平方米功能性光学薄膜材料建设项目的公告,"证券代码：002389   证券简称：航天彩虹   公告编号：2021-056

         航天彩虹无人机股份有限公司
关于投资年产1.4亿平方米功能性光学薄膜材料建设项目
            的公告

   本公司及董事会全体成员保证信息披露内容真实、准确和完

整，没有虚假记载、误导性陈述或重大遗漏。",cb97e147c8c9b8,False,0.55,rule_baseline,pending_human_review,True,2021-09-08
C-AN202201031538304399,AN202201031538304399,000801.SZ,四川九洲,2022-01-04,project_investment,positive,0.5,"[""无人机""]",四川九洲:四川九洲关于控股子公司参与设立投资基金暨关联交易的公告,"一、对外投资概述
  （一）概述
  四川九洲电器股份有限公司（以下简称“公司”）于 2021 年 12
月 31 日召开第十二届董事会第四次会议，审议通过了《关于控股子
公司参与设立投资基金暨关联交易的议案》，公司控股子公司深圳市

九洲电器有限公司（以下简称“深九电器”）拟与四川九洲投资控股
集团有限公司（以下简称“九洲集团”）、四川九洲创业投资有限责
任公司（以下简称“九洲创投”）、四川九洲君合股权投资基金管理
有限公司（以下简称“九洲君合”）签订《九洲君信投资基金合伙企
业（有限合伙）合伙协议》，拟共同投资设立九洲君信投资基金合伙
企业（有限合伙）（以工商登记为准）。",d06ec40aeb8290,False,0.55,rule_baseline,pending_human_review,True,2022-01-05
C-AN202201051538613576,AN202201051538613576,000099.SZ,中信海直,2022-01-06,government_support,positive,1.0,"[""机场"", ""直升机"", ""通用航空"", ""通航""]",中信海直:关于控股子公司海直通航获得2022年通用航空发展专项资金的公告,"根据《通用航空发展专项资金管理暂行办法》《财政部关于提前下达2022年
民航发展基金用于民航基础设施建设和机场航线补贴资金预算的通知》（财建
〔2021〕351号）相关规定，中信海洋直升机股份有限公司控股子公司海直通用
航空有限责任公司（下称“海直通航”）申请2022年通用航空发展专项资金补贴
（2020年7月—2021年6月）。",a7ed070fd59752,False,0.55,rule_baseline,pending_human_review,True,2022-01-07
C-AN202202231548709008,AN202202231548709008,600038.SH,中直股份,2022-02-24,project_investment,positive,1.0,"[""直升机"", ""航空器"", ""通用航空"", ""飞行""]",600038:中航直升机股份有限公司收购报告书摘要,"收购人
控股股东、实际控制人的股权控制关系如下图所示：
                             5
中航直升机股份有限公司                       收购报告书摘要




      （三）收购人控股股东主要下属企业及其主营业务的情况

     中航科工控股股东航空工业集团直接控制的主要二级单位主要从事航空武
器装备、军用运输类飞机、直升机、机载系统、通用航空、航空研究、飞行试
验、航空供应链与军贸、专用装备、汽车零部件、资产管理、金融、工程建设
等产业。",268086a225892a,False,0.55,rule_baseline,pending_human_review,True,2022-02-25
C-AN202202281549725953,AN202202281549725953,600038.SH,中直股份,2022-03-01,project_investment,positive,1.0,"[""直升机"", ""航空器"", ""通用航空"", ""飞行""]",600038:中航直升机股份有限公司收购报告书,"收购人
控股股东、实际控制人的股权控制关系如下图所示：
                              6
中航直升机股份有限公司                             收购报告书




      （三）收购人控股股东主要下属企业及其主营业务的情况

  中航科工控股股东航空工业集团直接控制的主要二级单位主要从事航空武
器装备、军用运输类飞机、直升机、机载系统、通用航空、航空研究、飞行试
验、航空供应链与军贸、专用装备、汽车零部件、资产管理、金融、工程建设
等产业。",0515841eeb8b26,False,0.55,rule_baseline,pending_human_review,True,2022-03-02
C-AN202203141552614058,AN202203141552614058,002389.SZ,航天彩虹,2022-03-15,project_investment,positive,0.5,"[""无人机""]",航天彩虹:关于控股子公司投资年产5000万平方米反射膜生产线工程建设项目的进展公告,"证券代码：002389    证券简称：航天彩虹   公告编号：2022-016

          航天彩虹无人机股份有限公司
  关于控股子公司投资年产5000万平方米反射膜生产线
              工程建设项目的进展公告

   本公司及董事会全体成员保证信息披露内容真实、准确和完整，

没有虚假记载、误导性陈述或重大遗漏。",3aa90034c6dd24,True,0.55,rule_baseline,pending_human_review,True,2022-03-16
C-AN202204061557651847,AN202204061557651847,002389.SZ,航天彩虹,2022-04-07,order_contract,positive,0.6000000000000001,"[""无人机"", ""机场"", ""飞行""]",航天彩虹:关于中标四川省林业和草原局航空消防服务项目的提示性公告,"证券代码：002389    证券简称：航天彩虹   公告编号：2022-024

              航天彩虹无人机股份有限公司
关于中标四川省林业和草原局航空消防服务项目的提示性公告


   本公司及董事会全体成员保证信息披露内容真实、准确和完整，

没有虚假记载、误导性陈述或重大遗漏。",e18aa1bf5a5be2,False,0.55,rule_baseline,pending_human_review,True,2022-04-08
C-AN202204131559040871,AN202204131559040871,002085.SZ,万丰奥威,2022-04-14,project_investment,positive,0.5,"[""航空器""]",万丰奥威:关于年产220架钻石飞机项目变更投资主体等相关事项的公告,"一、投资概述
   浙江万丰奥威汽轮股份有限公司（以下简称“公司”）于 2021 年 6 月 21 日召开
了第七届董事会第九次会议，审议通过了《关于奥地利钻石在青岛设立全资子公司
并投资年产 220 架钻石飞机项目的议案》，同意公司子公司奥地利钻石飞机工业有限
公司（以下简称“奥地利钻石”）在青岛设立全资子公司并投资年产 220 架钻石飞机
项目，项目投资总额 20,000 万元（其中注册资金 15,000 万元，由奥地利钻石全额出
资，其余资金由其自行解决）。",be87eaf7a269af,False,0.55,rule_baseline,pending_human_review,True,2022-04-15
C-AN202204251561508387,AN202204251561508387,002085.SZ,万丰奥威,2022-04-26,project_investment,positive,0.55,"[""航空器"", ""通航""]",万丰奥威:关于年产220架钻石飞机项目实施主体设立的进展公告,"股票代码：002085           股票简称：万丰奥威        公告编号：2022-012



              浙江万丰奥威汽轮股份有限公司

     关于年产220架钻石飞机项目实施主体设立的进展公告


  本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记
载、误导性陈述或重大遗漏。",e3e46bfe326023,True,0.55,rule_baseline,pending_human_review,True,2022-04-27
C-AN202212231581330864,AN202212231581330864,600038.SH,中直股份,2022-12-24,project_investment,positive,1.0,"[""直升机"", ""飞行""]",中直股份:中航直升机股份有限公司关于筹划重大资产重组事项的停牌公告,"证券代码：600038      证券简称：中直股份       公告编号：2022-045



               中航直升机股份有限公司
              关于筹划重大资产重组停牌公告


    本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性
 陈述或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。",5c491c1c25abeb,False,0.55,rule_baseline,pending_human_review,True,2023-01-10
C-AN202212301581531280,AN202212301581531280,600038.SH,中直股份,2022-12-31,project_investment,positive,1.0,"[""直升机""]",中直股份:中航直升机股份有限公司关于筹划重大资产重组的停牌进展公告(2022/12/31),"证券代码：600038     证券简称：中直股份       公告编号：2022-046



              中航直升机股份有限公司
         关于筹划重大资产重组的停牌进展公告


    本公司董事会、全体董事保证本公告内容不存在任何虚假记载、误导性
 陈述或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。",a69701c577b365,True,0.55,rule_baseline,pending_human_review,True,2023-01-10
C-AN202301021581629275,AN202301021581629275,002389.SZ,航天彩虹,2023-01-03,order_contract,positive,1.0,"[""无人机"", ""飞行""]",航天彩虹:关于签署无人机销售合同暨关联交易的公告,"证券代码：002389    证券简称：航天彩虹   公告编号：2023-004

              航天彩虹无人机股份有限公司
      关于签署无人机销售合同暨关联交易的公告

   本公司及董事会全体成员保证信息披露的内容真实、准确和完整，

没有虚假记载、误导性陈述或重大遗漏。",81e9778a64f80f,False,0.55,rule_baseline,pending_human_review,True,2023-01-04
C-AN202301061581766041,AN202301061581766041,600038.SH,中直股份,2023-01-07,project_investment,positive,1.0,"[""直升机"", ""航空器"", ""通用航空""]",中直股份:中航直升机股份有限公司关于筹划重大资产重组的停牌进展公告(2023/01/07),"证券代码：600038       证券简称：中直股份         公告编号：2023-001



              中航直升机股份有限公司
        关于筹划重大资产重组的停牌进展公告


    本公司董事会、全体董事保证本公告内容不存在任何虚假记载、误导
 性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责
 任。",46c34b611368e6,True,0.55,rule_baseline,pending_human_review,True,2023-01-10
C-AN202301091581821407,AN202301091581821407,600038.SH,中直股份,2023-01-10,project_investment,positive,1.0,"[""直升机""]",中直股份:中航直升机股份有限公司董事会关于本次重大资产重组履行法定程序的完备性、合规性及提交的法律文件的有效性的说明,"中航直升机股份有限公司董事会

       关于本次重大资产重组履行法定程序的完备性、合规性

             及提交的法律文件的有效性的说明

   中航直升机股份有限公司（以下简称“公司”）拟发行股份购买昌河飞机工业
（集团）有限责任公司和哈尔滨飞机工业集团有限责任公司100%股权并募集配套资
金（以下合称“本次交易”）。",7dc7155dc0a589,False,0.55,rule_baseline,pending_human_review,True,2023-01-11
C-AN202301091581821417,AN202301091581821417,600038.SH,中直股份,2023-01-10,project_investment,positive,0.55,"[""直升机""]",中直股份:中航直升机股份有限公司董事会关于本次交易符合《上市公司重大资产重组管理办法》第十一条及第四十三条规定的说明,"中航直升机股份有限公司董事会
 关于本次交易符合《上市公司重大资产重组管理办法》
         第十一条及第四十三条规定的说明

  中航直升机股份有限公司（以下简称“公司”或“上市公司”）拟发行股份
购买昌河飞机工业（集团）有限责任公司和哈尔滨飞机工业集团有限责任公司（以
下简称“标的公司”）100%股权并募集配套资金（以下合称“本次交易”）。",4cdd7f8ce9f8a6,False,0.55,rule_baseline,pending_human_review,True,2023-01-11
C-AN202301091581821412,AN202301091581821412,600038.SH,中直股份,2023-01-10,project_investment,positive,1.0,"[""直升机""]",中直股份:中航直升机股份有限公司关于披露重组预案的一般风险提示暨公司股票复牌公告,"证券代码：600038            股票简称：中直股份              编号：2023-002



                 中航直升机股份有限公司
     关于披露重组预案的一般风险提示暨公司股票复牌公告


         本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导
     性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责
     任。",31766a68d1621b,False,0.55,rule_baseline,pending_human_review,True,2023-01-11
C-AN202301091581821419,AN202301091581821419,600038.SH,中直股份,2023-01-10,project_investment,positive,1.0,"[""直升机""]",中直股份:中航直升机股份有限公司董事会关于本次重大资产重组不构成重组上市的说明,"中航直升机股份有限公司董事会

          关于本次交易不构成重组上市的说明

  中航直升机股份有限公司（以下简称“公司”）拟发行股份购买昌河飞机工业
（集团）有限责任公司和哈尔滨飞机工业集团有限责任公司100%股权并募集配套资
金（以下合称“本次交易”）。",729a6aa52af0d2,False,0.55,rule_baseline,pending_human_review,True,2023-01-11
C-AN202301091581821404,AN202301091581821404,600038.SH,中直股份,2023-01-10,project_investment,positive,1.0,"[""直升机""]",中直股份:中航直升机股份有限公司董事会关于本次交易相关主体不存在《上市公司监管指引第7号—上市公司重大资产重组相关股票异常交易监管》第十三条规定情形的说明,"中航直升机股份有限公司董事会

关于本次交易相关主体不存在《上市公司监管指引第 7 号—上市公司

重大资产重组相关股票异常交易监管》第十三条规定情形的说明

  中航直升机股份有限公司（以下简称“公司”）拟发行股份购买昌河飞机工
业（集团）有限责任公司和哈尔滨飞机工业集团有限责任公司 100%股权并募集
配套资金（以下合称“本次交易”）。",f40cc43b461a28,False,0.55,rule_baseline,pending_human_review,True,2023-01-11
C-AN202301091581821420,AN202301091581821420,600038.SH,中直股份,2023-01-10,project_investment,positive,1.0,"[""直升机""]",中直股份:中航直升机股份有限公司董事会关于本次重大资产重组采取的保密措施及保密制度的说明,"5．为避免因内幕信息泄露造成公司股价异常波动，公司向上海证券交易所申请
股票停牌，公司股票自2022年12月26日开市起停牌，并披露了《关于筹划重大资产
重组停牌公告》（公告编号：2022-045）。",5d5300f95d3cd9,False,0.55,rule_baseline,pending_human_review,True,2023-01-11
C-AN202301091581821421,AN202301091581821421,600038.SH,中直股份,2023-01-10,project_investment,positive,1.0,"[""直升机""]",中直股份:中航直升机股份有限公司董事会关于本次重组停牌前公司股票价格波动情况的说明,"中航直升机股份有限公司董事会

      关于本次重组停牌前公司股票价格波动情况说明

  中航直升机股份有限公司（以下简称“公司”）拟发行股份购买昌河飞机工
业（集团）有限责任公司和哈尔滨飞机工业集团有限责任公司 100%股权并募集
配套资金（以下合称“本次重组”）。",7419477cc1e9cb,False,0.55,rule_baseline,pending_human_review,True,2023-01-11
C-AN202301091581821401,AN202301091581821401,600038.SH,中直股份,2023-01-10,project_investment,positive,1.0,"[""直升机""]",中直股份:中国国际金融股份有限公司关于中航直升机股份有限公司本次发行股份购买资产并募集配套资金不构成重组上市的核查意见,"中国国际金融股份有限公司
          关于中航直升机股份有限公司
       本次发行股份购买资产并募集配套资金
            不构成重组上市的核查意见


  中航直升机股份有限公司（以下简称“上市公司”）拟发行股份购买昌河飞
机工业（集团）有限责任公司 100%股权、哈尔滨飞机工业集团有限责任公司 100%
股权并募集配套资金（以下简称“本次交易”）。",6238fb3c3edc84,False,0.55,rule_baseline,pending_human_review,True,2023-01-11
C-AN202301091581821418,AN202301091581821418,600038.SH,中直股份,2023-01-10,project_investment,positive,1.0,"[""直升机""]",中直股份:中航直升机股份有限公司董事会关于本次交易符合《关于规范上市公司重大资产重组若干问题的规定》第四条规定的说明,"中航直升机股份有限公司董事会

关于本次交易符合《关于规范上市公司重大资产重组若干问题的规定》

              第四条规定的说明

  中航直升机股份有限公司（以下简称“公司”）拟发行股份购买昌河飞机工业
（集团）有限责任公司和哈尔滨飞机工业集团有限责任公司（以下简称“标的公
司”）100%股权并募集配套资金（以下合称“本次交易”）。",007dc124a895f4,False,0.55,rule_baseline,pending_human_review,True,2023-01-11
C-AN202301131581971819,AN202301131581971819,688297.SH,中无人机,2023-01-14,performance,mixed,0.7500000000000001,"[""无人机""]",中无人机:中无人机2022年度业绩快报公告,"证券代码：688297        证券简称：中无人机                    公告编号：2023-001



          中航（成都）无人机系统股份有限公司
                2022 年度业绩快报公告


  本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗

漏，并对其内容的真实性、准确性和完整性承担法律责任。",a5835219a6abf6,False,0.55,rule_baseline,pending_human_review,True,2023-01-16
C-AN202302071582851573,AN202302071582851573,000099.SZ,中信海直,2023-02-08,government_support,positive,1.0,"[""机场"", ""直升机"", ""通用航空"", ""通航""]",中信海直:关于控股子公司海直通航获得2023年通用航空发展专项资金的公告,"根据《通用航空发展专项资金管理暂行办法》及《财政部关于提前下达2023
年民航发展基金用于民航基础设施建设和机场航线补贴资金预算的通知》（财建
〔2022〕399号）相关规定，中信海洋直升机股份有限公司（下称“公司”）控股
子公司海直通用航空有限责任公司（下称“海直通航”）申请2023年通用航空发
展专项资金补贴（2021年7月—2022年6月）。",a7ed070fd59752,False,0.55,rule_baseline,pending_human_review,True,2023-02-09
C-AN202302081582895316,AN202302081582895316,600038.SH,中直股份,2023-02-09,project_investment,positive,1.0,"[""直升机""]",中直股份:中航直升机股份有限公司关于重大资产重组的进展公告,"证券代码：600038       证券简称：中直股份    编号：2023-008



               中航直升机股份有限公司
              关于重大资产重组的进展公告

   本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈
 述或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。",6a4e136ce98fca,True,0.55,rule_baseline,pending_human_review,True,2023-02-10
C-AN202303091584155674,AN202303091584155674,600038.SH,中直股份,2023-03-10,project_investment,positive,1.0,"[""直升机""]",中直股份:中航直升机股份有限公司关于重大资产重组的进展公告,"证券代码：600038       证券简称：中直股份    编号：2023-009



               中航直升机股份有限公司
              关于重大资产重组的进展公告

   本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈
 述或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。",6a4e136ce98fca,True,0.55,rule_baseline,pending_human_review,True,2023-03-13
C-AN202304071585223869,AN202304071585223869,600038.SH,中直股份,2023-04-08,project_investment,positive,1.0,"[""直升机""]",中直股份:中航直升机股份有限公司关于重大资产重组的进展公告,"证券代码：600038       证券简称：中直股份    编号：2023-020



               中航直升机股份有限公司
              关于重大资产重组的进展公告

   本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈
 述或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。",6a4e136ce98fca,True,0.55,rule_baseline,pending_human_review,True,2023-04-10
