event_id,document_id,event_date,title,publisher,region,policy_level,event_type,raw_event_type,direction,intensity,uncertainty,novelty,policy_tools,targets,evidence_span,confidence,evidence_match_score,evidence_grounded,accepted,review_status
L-P20230601-04,P20230601,2023-06-28,无人驾驶航空器飞行管理暂行条例,国务院 中央军委,全国,central,regulation,regulatory_measure,positive,3,2,3,"[""certification""]","[""实施民用无人驾驶航空器运营合格证制度""]",使用除微型以外的民用无人驾驶航空器从事飞行活动的单位应当具备下列条件，并向国务院民用航空主管部门或者地区民用航空管理机构（以下统称民用航空管理部门）申请取得民用无人驾驶航空器运营合格证,0.95,1.0,True,True,pending_human_review
L-P20230601-05,P20230601,2023-06-28,无人驾驶航空器飞行管理暂行条例,国务院 中央军委,全国,central,regulation,regulatory_measure,positive,3,2,3,"[""licensing""]","[""实施民用无人驾驶航空器操控员执照制度""]",操控小型、中型、大型民用无人驾驶航空器飞行的人员应当具备下列条件，并向国务院民用航空主管部门申请取得相应民用无人驾驶航空器操控员（以下简称操控员）执照,0.95,1.0,True,True,pending_human_review
L-P20230601-06,P20230601,2023-06-28,无人驾驶航空器飞行管理暂行条例,国务院 中央军委,全国,central,regulation,regulatory_measure,positive,3,2,3,"[""registration""]","[""实施民用无人驾驶航空器实名登记制度""]",民用无人驾驶航空器所有者应当依法进行实名登记，具体办法由国务院民用航空主管部门会同有关部门制定。,0.95,1.0,True,True,pending_human_review
L-P20230601-07,P20230601,2023-06-28,无人驾驶航空器飞行管理暂行条例,国务院 中央军委,全国,central,regulation,regulatory_measure,positive,3,2,3,"[""standard_setting""]","[""制定民用无人驾驶航空器系统的国家标准、行业标准""]",国务院标准化行政主管部门和国务院其他有关部门按照职责分工组织制定民用无人驾驶航空器系统的设计、生产和使用的国家标准、行业标准。,0.95,1.0,True,True,pending_human_review
L-P20230601-08,P20230601,2023-06-28,无人驾驶航空器飞行管理暂行条例,国务院 中央军委,全国,central,regulation,regulatory_measure,positive,3,2,3,"[""regulation""]","[""制定无人驾驶航空器反制设备配备、设置、使用以及授权管理办法""]",无人驾驶航空器反制设备配备、设置、使用以及授权管理办法，由国务院工业和信息化、公安、国家安全、市场监督管理部门会同国务院有关部门、有关军事机关制定。,0.95,1.0,True,True,pending_human_review
L-P20240301-01,P20240301,2024-03-27,通用航空装备创新应用实施方案（2024—2030年）,工业和信息化部等,全国,central,strategic_plan,strategic_plan,positive,3,2,3,"[""规划""]","[""到2027年通用航空装备供给能力、产业创新能力显著提升"", ""到2030年形成万亿级市场规模""]",到2027年，我国通用航空装备供给能力、产业创新能力显著提升...到2030年...形成万亿级市场规模,0.95,0.35106382978723405,False,False,pending_human_review
L-P20240301-02,P20240301,2024-03-27,通用航空装备创新应用实施方案（2024—2030年）,工业和信息化部等,全国,central,airspace_reform,infrastructure_construction,positive,3,2,3,"[""基础设施建设""]","[""推动构建目视航线网络"", ""支持探索起降点建设试点"", ""推动建设智能化、集成型、多用途的通用航空基础设施""]",推动构建目视航线网络...支持探索推进楼顶、地面、水上等场景起降点建设试点...推动建设一批智能化、集成型、多用途的通用航空基础设施,0.9,0.5780346820809249,False,False,pending_human_review
L-P20240301-03,P20240301,2024-03-27,通用航空装备创新应用实施方案（2024—2030年）,工业和信息化部等,全国,central,support_measure,technology_innovation,positive,3,2,3,"[""技术攻关"", ""平台建设""]","[""加快关键核心技术突破"", ""完善通用航空装备产品谱系"", ""搭建产业协同创新平台""]",加快关键核心技术突破...完善通用航空装备产品谱系...搭建产业协同创新平台,0.9,0.49056603773584906,False,False,pending_human_review
L-P20240301-04,P20240301,2024-03-27,通用航空装备创新应用实施方案（2024—2030年）,工业和信息化部等,全国,central,other,industrial_chain,positive,3,2,3,"[""产业培育"", ""集群建设""]","[""打造10家以上通用航空产业链龙头企业"", ""建设一批先进制造业集群""]",打造10家以上具有生态主导力的通用航空产业链龙头企业...建设一批先进制造业集群,0.9,0.45925925925925926,False,False,pending_human_review
L-P20240301-05,P20240301,2024-03-27,通用航空装备创新应用实施方案（2024—2030年）,工业和信息化部等,全国,central,support_measure,application_demonstration,positive,3,2,3,"[""示范应用""]","[""扩大航空应急救援示范应用"", ""深化航空物流配送示范应用"", ""加速城市空中交通示范应用""]",扩大航空应急救援示范应用...深化航空物流配送示范应用...加速城市空中交通示范应用,0.9,0.5675675675675675,False,False,pending_human_review
L-P20240301-06,P20240301,2024-03-27,通用航空装备创新应用实施方案（2024—2030年）,工业和信息化部等,全国,central,regulation,regulation_standard,positive,3,2,3,"[""法规标准制定""]","[""完善法规标准体系"", ""建立安全验证体系""]",完善法规标准体系...建立安全验证体系,0.9,0.5853658536585366,False,False,pending_human_review
L-P20240301-07,P20240301,2024-03-27,通用航空装备创新应用实施方案（2024—2030年）,工业和信息化部等,全国,central,fiscal_subsidy,financial_support,positive,3,2,3,"[""金融支持"", ""保险补偿""]","[""探索通用航空装备产业科技金融合作新模式"", ""发挥首台（套）重大技术装备保险补偿政策作用""]",探索通用航空装备产业科技金融合作新模式...充分发挥首台（套）重大技术装备保险补偿政策作用,0.9,0.5609756097560976,False,False,pending_human_review
L-P20240301-08,P20240301,2024-03-27,通用航空装备创新应用实施方案（2024—2030年）,工业和信息化部等,全国,central,support_measure,talent_training,positive,2,2,2,"[""人才培养""]","[""夯实人才队伍基础""]",夯实人才队伍基础,0.85,1.0,True,True,pending_human_review
L-P20240401-01,P20240401,2024-04-09,高质量建设低空飞行服务保障体系,中国民用航空局,全国,central,strategic_plan,strategic_plan,positive,3,2,3,"[""规划""]","[""低空飞行服务保障体系""]",制定实施国家低空飞行服务保障体系建设总体规划,0.9,1.0,True,True,pending_human_review
L-P20240401-02,P20240401,2024-04-09,高质量建设低空飞行服务保障体系,中国民用航空局,全国,central,regulation,regulatory_change,positive,3,2,3,"[""法规标准""]","[""低空飞行服务法规标准体系""]",健全完善低空飞行服务法规标准体系,0.9,1.0,True,True,pending_human_review
L-P20240401-03,P20240401,2024-04-09,高质量建设低空飞行服务保障体系,中国民用航空局,全国,central,infrastructure,infrastructure_construction,positive,3,2,3,"[""平台建设""]","[""低空飞行国家综合监管服务平台""]",建设低空飞行国家综合监管服务平台,0.9,1.0,True,True,pending_human_review
L-P20240401-04,P20240401,2024-04-09,高质量建设低空飞行服务保障体系,中国民用航空局,全国,central,infrastructure,infrastructure_construction,positive,3,2,2,"[""基础设施建设""]","[""通航机场"", ""临时起降点"", ""飞行服务站""]",引导支持地方政府完善通航机场、临时起降点、飞行服务站等规划建设,0.9,1.0,True,True,pending_human_review
L-P20240401-05,P20240401,2024-04-09,高质量建设低空飞行服务保障体系,中国民用航空局,全国,central,support_measure,service_improvement,positive,2,2,2,"[""航图编制"", ""地理信息系统""]","[""低空飞行航图"", ""低空三维数字化网格化地理信息系统""]",组织编制低空飞行航图，建立低空三维数字化网格化地理信息系统,0.9,1.0,True,True,pending_human_review
L-P20240401-06,P20240401,2024-04-09,高质量建设低空飞行服务保障体系,中国民用航空局,全国,central,support_measure,service_improvement,positive,2,2,2,"[""产品供给"", ""人才培养""]","[""低空飞行情报"", ""气象产品"", ""专业人才队伍""]",加大低空飞行情报、气象等产品供给，强化低空飞行服务保障专业人才队伍建设,0.9,1.0,True,True,pending_human_review
L-P20240401-07,P20240401,2024-04-09,高质量建设低空飞行服务保障体系,中国民用航空局,全国,central,regulation,regulatory_change,positive,2,2,2,"[""适航标准"", ""审定模式""]","[""传统通用航空器"", ""无人机""]",优化适航标准、审定模式与技术，加快提升传统通用航空器和无人机适航审定能力,0.9,1.0,True,True,pending_human_review
L-P20240401-08,P20240401,2024-04-09,高质量建设低空飞行服务保障体系,中国民用航空局,全国,central,strategic_plan,strategic_plan,positive,2,2,2,"[""协同机制""]","[""低空飞行服务保障体系建设""]",强化与国家有关部门的协同，进一步理顺行业内部职责分工，推动形成低空飞行服务保障体系建设合力,0.9,1.0,True,True,pending_human_review
L-P20240501-01,P20240501,2024-05-21,广东省推动低空经济高质量发展行动方案（2024—2026年）,广东省人民政府办公厅,广东,province,strategic_plan,strategic_plan,positive,3,2,3,"[""行动方案""]","[""低空经济规模超过3000亿元"", ""全省通用飞机飞行达到15万小时"", ""无人机飞行达到350万小时""]",广东省推动低空经济高质量发展行动方案（2024—2026年）,0.95,1.0,True,True,pending_human_review
L-P20240501-02,P20240501,2024-05-21,广东省推动低空经济高质量发展行动方案（2024—2026年）,广东省人民政府办公厅,广东,province,infrastructure,infrastructure_construction,positive,3,2,3,"[""建设"", ""规划""]","[""建设一批通用机场和起降场、起降点"", ""基本建成安全高效、互联互通的地面基础设施网络"", ""核心区域低空智联基础设施建设完成""]",建设一批通用机场和起降场、起降点，基本建成安全高效、互联互通的地面基础设施网络，核心区域低空智联基础设施建设完成,0.9,1.0,True,True,pending_human_review
L-P20240501-03,P20240501,2024-05-21,广东省推动低空经济高质量发展行动方案（2024—2026年）,广东省人民政府办公厅,广东,province,airspace_reform,airspace_management_reform,positive,3,2,3,"[""协同管理"", ""试点示范""]","[""加强低空空域协同管理"", ""争取低空经济试点示范""]",加强低空空域协同管理。完善相关工作机制，加强“军地民”三方工作协同,0.9,1.0,True,True,pending_human_review
L-P20240501-04,P20240501,2024-05-21,广东省推动低空经济高质量发展行动方案（2024—2026年）,广东省人民政府办公厅,广东,province,support_measure,industry_promotion,positive,3,2,3,"[""支持"", ""培育""]","[""培育一批龙头企业和专精特新企业"", ""基本形成广州、深圳、珠海三核联动、多点支撑、成片发展的低空经济产业格局""]",培育一批龙头企业和专精特新企业。低空经济规模超过3000亿元，基本形成广州、深圳、珠海三核联动、多点支撑、成片发展的低空经济产业格局,0.9,0.7518796992481203,False,False,pending_human_review
L-P20240501-05,P20240501,2024-05-21,广东省推动低空经济高质量发展行动方案（2024—2026年）,广东省人民政府办公厅,广东,province,support_measure,technology_innovation,positive,3,2,3,"[""攻关"", ""布局""]","[""布局一批省级创新平台，争创国家级创新平台1—2家"", ""攻克一批低空领域关键卡脖子技术""]",布局一批省级创新平台，争创国家级创新平台1—2家。攻克一批低空领域关键卡脖子技术，基本实现低空产业链自主可控,0.9,1.0,True,True,pending_human_review
L-P20240501-06,P20240501,2024-05-21,广东省推动低空经济高质量发展行动方案（2024—2026年）,广东省人民政府办公厅,广东,province,support_measure,application_scenario_expansion,positive,3,2,3,"[""拓展"", ""示范""]","[""在城市空中交通、低空物流、全空间无人体系等试点示范取得积极进展""]",在城市空中交通、低空物流、全空间无人体系等试点示范取得积极进展,0.9,1.0,True,True,pending_human_review
L-P20240501-07,P20240501,2024-05-21,广东省推动低空经济高质量发展行动方案（2024—2026年）,广东省人民政府办公厅,广东,province,airspace_reform,regulation_standard,positive,2,2,2,"[""制定条例"", ""标准制修订""]","[""研究制定《广东省低空经济促进条例》"", ""支持企业、高校、科研院所等参与国家、行业、地方、团体的相关标准制修订""]",研究制定《广东省低空经济促进条例》，明确相关参与方主体职责，推动低空空域划设与使用、飞行服务、安全监管、产业培育等规范化发展,0.85,1.0,True,True,pending_human_review
L-P20240501-08,P20240501,2024-05-21,广东省推动低空经济高质量发展行动方案（2024—2026年）,广东省人民政府办公厅,广东,province,fiscal_subsidy,financial_support,positive,2,2,2,"[""政府投资基金"", ""专项基金"", ""融资支持""]","[""通过政府投资基金等方式支持低空产业发展"", ""探索通过市场化方式组建专项基金"", ""支持重点企业通过境内外资本市场进行股权融资和债券融资""]",通过政府投资基金等方式支持低空产业发展，探索通过市场化方式组建专项基金，引导更多资金投向低空经济重点领域,0.85,1.0,True,True,pending_human_review
L-P20240502-01,P20240502,2024-05-22,武汉市支持低空经济高质量发展若干措施,武汉市人民政府,湖北武汉,city,fiscal_subsidy,financial_support,positive,4,1,3,"[""subsidy"", ""reward""]","[""低空经济企业落户""]",对新落户的经营范围为电动垂直起降飞行器（eVTOL）及大、中型无人驾驶航空器整机研发制造、核心零部件研发制造与商业运营等领域的低空经济企业，实缴注册资本规模在1000万元以上且落户第二年产值规模（营业收入）在2000万元以上的，按实缴注册资本的5%给予不超过1000万元的落户奖励。,0.95,1.0,True,True,pending_human_review
L-P20240502-02,P20240502,2024-05-22,武汉市支持低空经济高质量发展若干措施,武汉市人民政府,湖北武汉,city,fiscal_subsidy,infrastructure_construction,positive,4,1,3,"[""subsidy"", ""reward""]","[""低空基础设施""]",鼓励企业开展低空经济相关基础设施建设，对在武汉建设无人机智能起降机巢、中大型无人驾驶航空器起降场、eVTOL起降场、直升机起降平台等低空经济相关基础设施并实际运营的企业，按照实际建设投入的50%分类别给予一次性补贴，每个智能起降机巢不超过10万元，每个中大型起降场、eVTOL起降场、直升机起降平台不超过100万元，每家企业每年该项补贴不超过500万元。,0.95,1.0,True,True,pending_human_review
L-P20240502-03,P20240502,2024-05-22,武汉市支持低空经济高质量发展若干措施,武汉市人民政府,湖北武汉,city,fiscal_subsidy,standard_setting,positive,3,1,3,"[""reward""]","[""低空经济标准规范""]",对依法设立且住所地在武汉市行政区域内的企事业单位或者社会组织，主导制定并获批准发布低空飞行器产品、低空起降设施、低空运营服务等领域国际标准、国家标准、行业标准、地方标准、团体标准且实施后取得良好成效的，按规定分别给予最高不超过100万元、50万元、30万元、10万元、10万元的奖励。,0.95,1.0,True,True,pending_human_review
L-P20240502-04,P20240502,2024-05-22,武汉市支持低空经济高质量发展若干措施,武汉市人民政府,湖北武汉,city,fiscal_subsidy,route_approval,positive,4,1,3,"[""reward""]","[""低空试点航线""]",对在武汉开通低空物流配送试点航线（起终点至少有1个在武汉市内）的低空经济企业给予奖励，对取得行业主管部门审批并使用小型无人驾驶航空器常态化运营（年度执行不少于1000架次）的航线，每条新开航线给予一次性奖励20万元。对取得行业主管部门审批并使用大、中型无人驾驶航空器常态化运营（年度执行不少于500架次）的航线，每条新开航线给予一次性奖励40万元。对取得行业主管部门审批且在公开渠道售票的新开通航短途运输航线（起点终点至少有1个在武汉市内，航线距离不低于25公里）并常态化运营的低空经济企业，每条航线（年度执行不少于100架次）给予不超过每人次500元、每架次不超过3000元的奖励，单条航线年最高奖励200万元。,0.95,1.0,True,True,pending_human_review
L-P20240502-05,P20240502,2024-05-22,武汉市支持低空经济高质量发展若干措施,武汉市人民政府,湖北武汉,city,fiscal_subsidy,innovation_support,positive,4,1,3,"[""subsidy"", ""reward"", ""tax_incentive""]","[""低空经济企业科技创新""]",落实科技型低空经济企业研发费用加计扣除、高新技术企业所得税减免、技术开发及技术转让增值税免税等政策。实施市科技计划项目，支持低空经济企业开展技术攻关。支持在汉企业与高校院所、新型研发机构合作开展科技成果转化，按规定对开展技术交易活动的各类主体给予奖励。鼓励企业独立或者联合高校院所、新型研发机构组建创新联合体。对新获批的低空经济领域国家级产业创新中心、技术创新中心、工程研究中心，给予1000万元资金支持。鼓励低空经济领域科技型企业依托高校院所建立企校联合实验室，支持首次纳入高新技术产业统计名录的企业建立企业研发中心，并给予建设补贴。对自主研制的通用航空器产品（含中型、大型无人机）首次取得国家通用航空器整机型号合格证、生产许可证的企业，分别给予一次性奖励200万元。,0.95,1.0,True,True,pending_human_review
L-P20240502-06,P20240502,2024-05-22,武汉市支持低空经济高质量发展若干措施,武汉市人民政府,湖北武汉,city,fiscal_subsidy,financial_support,positive,4,1,3,"[""fund""]","[""低空经济产业金融支持""]",充分发挥产业基金引导作用，利用多种金融服务方式，支持低空经济新基建、中小企业培育、龙头企业壮大、头部企业上市。引导社会资本设立低空经济领域产业基金，重点投资低空经济领域优质项目。鼓励各区设立低空经济专项基金，市、区共同形成总规模100亿元的低空经济发展基金群。,0.95,1.0,True,True,pending_human_review
L-P20240502-07,P20240502,2024-05-22,武汉市支持低空经济高质量发展若干措施,武汉市人民政府,湖北武汉,city,fiscal_subsidy,talent_introduction,positive,3,1,2,"[""subsidy"", ""reward""]","[""低空经济人才""]",鼓励和支持企业培养引进低空经济领域高层次人才，支持申报武汉英才计划，对战略科技人才提供“一事一议”综合支持，对产业领军人才给予一次性奖励、团队支持和综合保障服务。支持企业开展无人机驾驶员、无人机测绘操控员等岗位技能培训和新型学徒制培训，按规定给予企业每名职工500元至8000元的培训补贴。,0.95,1.0,True,True,pending_human_review
L-P20240502-08,P20240502,2024-05-22,武汉市支持低空经济高质量发展若干措施,武汉市人民政府,湖北武汉,city,fiscal_subsidy,investment_subsidy,positive,3,1,2,"[""subsidy""]","[""低空经济企业投资技改""]",对低空经济领域符合条件的工业企业，在建设期内（最长不超过2年）设备投资达到2000万元及以上的投资项目，按照其生产性设备购置与改造投资额的8%给予最高不超过800万元补助；对建设期内（最长不超过2年）设备投资达到500万元及以上的智能化改造项目，按照其生产性设备投资及研发投入总额的8%给予最高不超过1000万元补助。专精特新“小巨人”企业申请工业技改补助，设备投资额门槛由2000万元调整为500万元。,0.95,1.0,True,True,pending_human_review
L-P20240601-01,P20240601,2024-06-18,关于支持全省低空经济高质量发展的若干政策措施,湖南省人民政府办公厅,湖南,province,fiscal_subsidy,financial_support,positive,3,1,2,"[""subsidy""]","[""传统通航运营""]",对于主运行基地设在湖南的通航企业年飞行小时达到100小时，按照最大起飞重量1吨（含）以下的航空器予以500元/小时、最大起飞重量1吨（不含）—5吨（不含）的航空器予以2000元/小时、最大起飞重量5吨（含）以上的航空器予以3000元/小时的运行补助，单个企业每年补助最高不超过100万元,0.95,1.0,True,True,pending_human_review
L-P20240601-02,P20240601,2024-06-18,关于支持全省低空经济高质量发展的若干政策措施,湖南省人民政府办公厅,湖南,province,fiscal_subsidy,financial_support,positive,3,1,3,"[""subsidy""]","[""新型航空器运营""]",对于利用垂直起降航空器（eVTOL）、飞行汽车等新型飞行器开展商业化飞行的企业，每开通一条固定飞行航线且年飞行小时达到100小时，按照1000元/小时给予运营补贴，单个企业每年补贴最高不超过300万元,0.95,1.0,True,True,pending_human_review
L-P20240601-03,P20240601,2024-06-18,关于支持全省低空经济高质量发展的若干政策措施,湖南省人民政府办公厅,湖南,province,fiscal_subsidy,financial_support,positive,3,1,3,"[""subsidy""]","[""无人机物流配送""]",鼓励无人驾驶航空器（无人机）开展低空物流和配送业务，企业每开通一条固定无人机物流航线或配送航线且常态化运营一年以上，年飞行达到1000架次的（往返为一架次），一次性给予10万元航线补贴,0.95,1.0,True,True,pending_human_review
L-P20240601-04,P20240601,2024-06-18,关于支持全省低空经济高质量发展的若干政策措施,湖南省人民政府办公厅,湖南,province,fiscal_subsidy,application_scenario,positive,2,1,2,"[""subsidy"", ""consumption_voucher""]","[""低空旅游"", ""航空体育""]",鼓励各市州发放低空旅游消费券，鼓励旅行社开展低空旅游业务；每年发放不低于300万元航空体育消费券,0.9,0.5504587155963303,False,False,pending_human_review
L-P20240601-05,P20240601,2024-06-18,关于支持全省低空经济高质量发展的若干政策措施,湖南省人民政府办公厅,湖南,province,fiscal_subsidy,industrial_support,positive,3,1,3,"[""subsidy""]","[""航空制造企业""]",航空制造企业新取得国家通用航空器整机型号合格证、生产许可证，并在省内建设生产线并投产的，按照投产后第一年销售额的5%给予一次性补助，单个型号补助金额最高不超过1000万元,0.95,0.8808290155440415,True,True,pending_human_review
L-P20240601-06,P20240601,2024-06-18,关于支持全省低空经济高质量发展的若干政策措施,湖南省人民政府办公厅,湖南,province,fiscal_subsidy,infrastructure,positive,3,1,2,"[""subsidy""]","[""通用机场建设""]",对符合国土空间规划并纳入全省通用机场布局规划的通用机场（含改扩建）按照工程费用的10%一次性给予支持，单个机场最多不超过1000万元,0.95,1.0,True,True,pending_human_review
L-P20240601-07,P20240601,2024-06-18,关于支持全省低空经济高质量发展的若干政策措施,湖南省人民政府办公厅,湖南,province,regulation,talent_support,positive,2,1,2,"[""talent_policy""]","[""低空经济专业人才""]",将通航飞行员（含大型无人机操作员）和持有机务维修基础执照、航务（管制、签派）执照、安全监督员执照的人才列为紧缺急需或特殊人才，按照省市相应人才政策执行,0.9,1.0,True,True,pending_human_review
L-P20240601-08,P20240601,2024-06-18,关于支持全省低空经济高质量发展的若干政策措施,湖南省人民政府办公厅,湖南,province,fiscal_subsidy,financial_support,positive,3,1,3,"[""reward""]","[""重大低空经济项目""]",对重大低空经济类先进制造业项目，根据其对经济社会实际贡献情况给予奖励，最高奖励2000万元,0.95,1.0,True,True,pending_human_review
L-P20240801-01,P20240801,2024-08-01,关于支持低空经济产业发展的若干措施,河北雄安新区党工委管委会党政办公室,河北雄安,city,fiscal_subsidy,financial_support,positive,4,1,3,"[""grant""]","[""低空经济企业"", ""科研院所""]",对新落户新区开展eVTOL（电动垂直起降航空器）、飞行汽车、大中小型有人/无人驾驶航空器整机研发制造、通用航空器整机研发制造、核心零部件研发制造、商业运营服务等业务的低空经济企业、科研院所、科研机构等创新主体，实缴注册资本规模2000万元以上的，按实缴注册资本的1%给予不超过1000万元的落户奖励。,0.95,1.0,True,True,pending_human_review
L-P20240801-02,P20240801,2024-08-01,关于支持低空经济产业发展的若干措施,河北雄安新区党工委管委会党政办公室,河北雄安,city,fiscal_subsidy,financial_support,positive,3,1,2,"[""grant""]","[""低空经济企业""]",聚焦整机装备、通导设备、新材料、关键零部件、软件研发等核心产品，在政策有效期内，产品形成的累计年度产值（销售额或营业收入）首次达到2000万元以上的企业，按照产品产值（销售额或营业收入）的2%给予一次性资助，单个企业最高不超过500万元。,0.95,1.0,True,True,pending_human_review
L-P20240801-03,P20240801,2024-08-01,关于支持低空经济产业发展的若干措施,河北雄安新区党工委管委会党政办公室,河北雄安,city,fiscal_subsidy,infrastructure_construction,positive,4,1,3,"[""subsidy""]","[""低空经济企业""]",支持新区企业有序规划建设适应低空飞行器航线需要的起降坪、垂直起降点、停机库、航空飞行营地、无人机自动值守机库、低空通导感知服务网络等基础设施，构建低空飞行器起降点和航线网络。对建设无人机小型起降平台、智能起降柜机、充换电站、中转站、气象监测站、低空服务站、低空服务网等基础设施的企业，按照实际建设投入的50%给予一次性补贴，每套基础设施最高不超过20万元，每家企业每年度该项资助金额合计最高不超过500万元。对建设中型起降场、大型起降枢纽、eVTOL（电动垂直起降航空器）起降场、停机库、航空飞行营地跑道、直升机起降平台的企业，按照实际建设投入的50%给予一次性补贴，每个起降场地最高不超过300万元，每家企业每年度该项资助金额合计最高不超过600万元。,0.95,1.0,True,True,pending_human_review
L-P20240801-04,P20240801,2024-08-01,关于支持低空经济产业发展的若干措施,河北雄安新区党工委管委会党政办公室,河北雄安,city,fiscal_subsidy,financial_support,positive,4,1,3,"[""reward""]","[""低空经济企业""]",对在新区获得中国民用航空局颁发的航空器型号合格证（TC）和生产许可证（PC）并在新区经营的低空经济企业给予奖励，其中eVTOL（电动垂直起降航空器）、飞行汽车、通用航空器（有人）每次奖励1500万元，大型无人驾驶航空器每次奖励500万元，中型无人驾驶航空器每次奖励300万元。政策有效期内，每家企业每年奖励不超过3000万元，同一型号仅奖励一次。,0.95,1.0,True,True,pending_human_review
