event_id,art_code,ts_code,name,event_date,event_type,direction,relevance_score,domain_hits,title,evidence_span,event_chain_id,is_progress_update,confidence,extraction_method,review_status,eligible_for_labeling
C-AN202101051447590861,AN202101051447590861,002111.SZ,威海广泰,2021-01-06,order_contract,positive,0.22999999999999998,[],威海广泰:关于2020年度订单情况的自愿性信息披露公告,"二、截至2020年12月31日在手订单情况
  截至2020年12月31日，公司在手订单总金额为295,074.44万元（含已中标尚
未签订合同金额），详情如下表：

  项目     已签订合同订单         已中标的订单              在手订单合计
  金额     249,188.98万元    45,885.46万元     295,074.44万元

  其中特殊业务在手订单合计金额为126,757万元。",226239c2811931,False,0.55,rule_baseline,pending_human_review,False
C-AN202101051447404185,AN202101051447404185,300114.SZ,中航电测,2021-01-06,performance,mixed,0.05,[],中航电测:2020年度业绩预告,"一、业绩预计情况

  1、业绩预告期间：2020年1月1日——2020年12月31日

  2、业绩预告类型：□亏损 □扭亏 √同向上升 □同向下降

  3、业绩预告情况表


   项目                 本报告期                   上年同期


              比上年同期变动幅度:15%-35%
归属于上市公司股
                                        盈利: 21,241.65 万元
 东的净利润
              盈利: 24,428 万元—28,676 万元

  二、业绩预告预审计情况

  本次业绩预告未经注册会计师审计。",72beb78d0d3614,False,0.55,rule_baseline,pending_human_review,False
C-AN202101051447614026,AN202101051447614026,688568.SH,中科星图,2021-01-06,market_risk,negative,0.05,[],688568:关于中科星图股份有限公司股票交易异常波动问询函的回函,"关于中科星图股份有限公司
          股票交易异常波动问询函的回函


中科星图股份有限公司：

  《关于中科星图股份有限公司股票交易异常波动的征询函》已收

悉，现就问询事项回复如下：

  一、截至目前，作为你公司的实际控制人，本单位不存在正在筹

划并购重组、股份发行、债务重组、业务重组、资产剥离和资产注入

等重大事项。",306f5964ea5562,False,0.55,rule_baseline,pending_human_review,False
C-AN202101051447614027,AN202101051447614027,688568.SH,中科星图,2021-01-06,market_risk,negative,0.05,[],688568:中科星图股份有限公司股票交易异常波动公告,"证券代码：688568         证券简称：中科星图            公告编号：2021-002



       中科星图股份有限公司股票交易异常波动公告


   本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述
或者重大遗漏，并对其内容的真实性、准确性和完整性依法承担法律责任。",fa2890a02311b7,False,0.55,rule_baseline,pending_human_review,False
C-AN202101061447806372,AN202101061447806372,600879.SH,航天电子,2021-01-07,project_investment,positive,0.43,"[""无人机"", ""航空器"", ""通用航空"", ""飞行""]",600879:航天时代电子技术股份有限公司关于公司控股公司航天时代飞鹏有限公司设立完成的公告,"民用航空器维修，通用航空服务（依法须经批准的项目，经相关部门批准后方可
开展经营活动，具体经营项目以审批结果为准）
  一般项目：智能无人飞行器制造；",45fc58c1fe40c6,False,0.55,rule_baseline,pending_human_review,False
C-AN202101081448885854,AN202101081448885854,000801.SZ,四川九洲,2021-01-09,project_investment,positive,0.44999999999999996,[],四川九洲:关于收购资产暨关联交易的进展公告,"证券代码：000801     证券简称：四川九洲     公告编号：2021001



           四川九洲电器股份有限公司
       关于收购资产暨关联交易的进展公告

   本公司及董事会全体成员保证信息披露的内容真实、准确和完

 整，没有虚假记载、误导性陈述或者重大遗漏。",dd9b760b500c94,True,0.55,rule_baseline,pending_human_review,False
C-AN202101081448833472,AN202101081448833472,002708.SZ,光洋股份,2021-01-09,project_investment,positive,0.22999999999999998,[],光洋股份:关于对外投资设立全资子公司的公告,"股票代码：002708       股票简称：光洋股份    编号：（2021）005号


                常州光洋轴承股份有限公司

              关于对外投资设立全资子公司的公告

  本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误

导性陈述或重大遗漏。",f951e88adcab9b,False,0.55,rule_baseline,pending_human_review,False
C-AN202101101449358138,AN202101101449358138,300627.SZ,华测导航,2021-01-11,performance,mixed,0.05,[],华测导航:2020年年度业绩预告,"一、本期业绩预计情况
   1、业绩预告期间：2020年01月01日至2020年12月31日

   2、预计的业绩：□亏损        □扭亏为盈        同向上升    □同向下降
     项目                本报告期                上年同期

              比上年同期增长：44.20-55.01%
归属于上市公司股
                                       盈利：13,869.84万元
东的净利润         盈利：20,000-21,500万元

归属于上市公司股 比上年同期增长：26.75-39.43%
东的扣除非经常性                               盈利：11,834.15万元
损益的净利润   盈利：15,000-16,500万元

   注：表格中“元”均指“人民币元”。",4607ebd13d7a36,False,0.55,rule_baseline,pending_human_review,False
C-AN202101121449853446,AN202101121449853446,000738.SZ,航发控制,2021-01-12,other_business,positive,0.0,[],航发控制:关于签订《金融服务协议》暨关联交易的公告,"3.履约能力分析
  航发财司是经中国银保监会批准设立的非银行金融机构，证照和业务资质齐备，
财务状况和经营情况处于良好状态，能按合同约定履行责任和义务，不存在无法正
常履约的风险，不是失信被执行人。",7ae84c2429ebb8,False,0.55,rule_baseline,pending_human_review,False
C-AN202101121449994977,AN202101121449994977,002085.SZ,万丰奥威,2021-01-13,project_investment,positive,0.55,"[""直升机"", ""通用航空""]",万丰奥威:关于子公司飞机工业设立全资子公司的公告,"飞机工业储备了大量的通用航空研发设计人才，拥有大量以航空发动机、复合材料、
新型活塞固定翼飞机设计为特色的通用飞机研发与设计技术，拥有 8 个基本型 16 个
机型和 2 款发动机的全系列的无形资产及其相关机型生产专有技术，目前正有序引
入多款机型的制造，构建国内国外遥相呼应的产业发展格局，致力于推动中国通用
航空的发展。",3e2aedad8c52f2,False,0.55,rule_baseline,pending_human_review,True
C-AN202101131450177702,AN202101131450177702,002389.SZ,航天彩虹,2021-01-13,project_investment,positive,0.5,"[""无人机""]",航天彩虹:关于收到《中国证监会行政许可项目审查一次反馈意见通知书》的公告,"证券代码：002389    证券简称：航天彩虹   公告编号：2021-002

              航天彩虹无人机股份有限公司
       关于收到《中国证监会行政许可项目审查
              一次反馈意见通知书》的公告

     本公司及董事会全体成员保证信息披露内容真实、准确和完整，

没有虚假记载、误导性陈述或重大遗漏。",9e94fead611dea,False,0.55,rule_baseline,pending_human_review,True
C-AN202101141450561382,AN202101141450561382,300719.SZ,安达维尔,2021-01-14,performance,mixed,0.05,[],安达维尔:2020年度业绩预告,"一、本期业绩预计情况

 1、业绩预告期间：2020年1月1日至2020年12月31日
 2、预计的业绩：同向上升
 3、2020年度预计的业绩为：

   项目                  本报告期                   上年同期

               比上年同期变动：29.87%—36.71%
归属于上市公司
                                          盈利：7,314.91万元
股东的净利润        盈利：9,500.00万元—10,000.00万元


注：上表中“元”均指人民币元。",e2f6473b64fcfd,False,0.55,rule_baseline,pending_human_review,False
C-AN202101141450570208,AN202101141450570208,002465.SZ,海格通信,2021-01-15,other_business,positive,0.05,[],海格通信:经营合同公告,"公司在特殊机构用户信息化建设多个科研项目比试中成

绩位于前列，可以预见未来特殊机构的市场潜力广阔。",1d938a2c40388c,False,0.55,rule_baseline,pending_human_review,False
C-AN202101151450943409,AN202101151450943409,300034.SZ,钢研高纳,2021-01-15,other_business,positive,0.05,[],钢研高纳:关于与控股股东签订《附条件生效的股份认购协议之补充协议》的公告,"证券代码：300034      证券简称：钢研高纳   公告编号：2021-017



              北京钢研高纳科技股份有限公司

                 关于与控股股东签订

    《附条件生效的股份认购协议之补充协议》的公告


   本公司及董事会全体成员保证公告内容的真实、准确和完整，没有虚假记
载、误导性陈述或重大遗漏。",fcd3f469b71470,False,0.55,rule_baseline,pending_human_review,False
C-AN202101141450717380,AN202101141450717380,300053.SZ,航宇微,2021-01-15,legal_safety_risk,negative,0.22999999999999998,[],欧比特:关于子公司诉讼事项的进展公告,"证券代码：300053            证券简称：欧比特            公告编号：2021-001


              珠海欧比特宇航科技股份有限公司

              关于子公司诉讼事项的进展公告

  本公司及董事会全体成员保证公告内容真实、准确、完整，没有虚假记载、
误导性陈述或重大遗漏。",8bdb1817ea02a7,True,0.55,rule_baseline,pending_human_review,False
C-AN202101171451607905,AN202101171451607905,002179.SZ,中航光电,2021-01-18,project_investment,positive,0.22999999999999998,[],中航光电:关于实施华南产业基地项目的公告,"四、项目风险提示

  1、该项目可能受资金筹措进度、项目审批、市场环境变化、运营管理等多

种风险因素的影响，投资收益存在不确定性，敬请广大投资者注意投资风险。",2b3e0c02564363,False,0.55,rule_baseline,pending_human_review,False
C-AN202101171451602434,AN202101171451602434,300424.SZ,航新科技,2021-01-18,strategic_cooperation,positive,0.22999999999999998,[],航新科技:关于控股股东及部分一致行动人签署《关于广州航新航空科技股份有限公司之合作框架协议》暨控制权拟发生变更的提示性公告,"若乙方指定主体为除上述企业外的第三方的，应当提前 5 个工作
日通知甲方，若该主体不存在影响其作为上市公司收购人的情形、符
合行业相关主管单位的资质要求且不属于目标公司业务竞争对手的，
甲方应当予以认可；",024ee18befcca0,False,0.55,rule_baseline,pending_human_review,False
C-AN202101191452259885,AN202101191452259885,002414.SZ,高德红外,2021-01-20,other_business,positive,0.05,[],高德红外:日常经营重要合同公告,"2、近年来公司参与的各兵种多类型型号项目竞标成绩优异，2020 年至今多
个型号产品订单集中性签署，大幅提升了公司产品在多个领域的批量应用。",26a9b69991ad7b,False,0.55,rule_baseline,pending_human_review,False
C-AN202101191452193411,AN202101191452193411,002544.SZ,普天科技,2021-01-20,other_business,positive,0.0,[],杰赛科技:关于签订募集资金三方及四方监管协议的公告,"该专户仅用于公司“广州杰赛科技股份有限公司 5G 高端通信
振荡器的研发与产业化项目”募集资金的存储和使用，不用作其他用途。",79cae36fe3df9b,False,0.55,rule_baseline,pending_human_review,False
C-AN202101211452928806,AN202101211452928806,688586.SH,江航装备,2021-01-22,performance,mixed,0.05,[],688586:江航装备2020年年度业绩预告的公告,"四、风险提示

  本次业绩预告是公司财务部门初步测算的结果，未经注册会计师审计，具体

财务数据将在公司 2020 年度报告中详细披露，敬请广大投资者谨慎决策，注意

投资风险。",e211707dc6bcc9,False,0.55,rule_baseline,pending_human_review,False
C-AN202101221453359922,AN202101221453359922,002151.SZ,北斗星通,2021-01-23,performance,mixed,0.1,"[""无人机""]",北斗星通:2020年度业绩预告,"证券代码：002151         证券简称：北斗星通          公告编号：2021-008


          北京北斗星通导航技术股份有限公司
                   2020 年度业绩预告
  本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚
假记载、误导性陈述或重大遗漏。",f1bf6050e6654c,False,0.55,rule_baseline,pending_human_review,False
C-AN202101221453413870,AN202101221453413870,300053.SZ,航宇微,2021-01-23,performance,mixed,0.05,[],欧比特:2020年度业绩预告,"证券代码：300053           证券简称：欧比特              公告编号：2021-002


               珠海欧比特宇航科技股份有限公司

                   2020 年度业绩预告

    本公司及董事会 全体成员保证公告内容真实、准确、完整，没 有虚假记
载、误导性陈述 或重大遗漏。",59a074e5e556f5,False,0.55,rule_baseline,pending_human_review,False
C-AN202101221453346968,AN202101221453346968,300900.SZ,广联航空,2021-01-23,project_investment,positive,0.33,"[""直升机"", ""航空器""]",广联航空:关于使用部分超募资金向全资子公司实缴出资、提供借款以投资建设西安航空产业加工制造基地项目的公告,"项目实施后，将形
成航空工装研发、飞机零部件（金属、复合材料）生产能力、飞机随机设备配套、
无人飞机（直升机）研发能力。",54d4a7acb2fe9c,False,0.55,rule_baseline,pending_human_review,False
C-AN202101241453856584,AN202101241453856584,300101.SZ,振芯科技,2021-01-25,performance,mixed,0.05,[],振芯科技:2020年年度业绩预告,"2、报告期，公司紧抓集成电路行业市场需求增长以及北斗全球导航系统正

式组网运行的历史性机遇，积极强化新产品推出速度和重点市场拓展力度，持续
加强研发投入和供货保障能力建设，实现了 2020 年度总体销售收入的增长。",b01cca290131c8,False,0.55,rule_baseline,pending_human_review,False
C-AN202101251454203119,AN202101251454203119,300696.SZ,爱乐达,2021-01-25,performance,mixed,0.05,[],爱乐达:2020年度业绩预告,"一、本期业绩预计情况
  1、业绩预告期间：2020年1月1日-2020年12月31日
  2、预计的业绩：□亏损 扭亏为盈 ■同向上升 □同向下降
  3、业绩预告情况如下：
   项目                  本报告期                     上年同期

                 比上年同期增长：68%-78%
归属于上市公司
                                             盈利：7,805.13万元
股东的净利润        盈利：13,112.62万元-13,893.14万元

  注：1）上表中的“万元”均指人民币
  二、业绩预告预审计情况
  业绩预告中本期财务数据未经注册会计师审计。",eb045650035778,False,0.55,rule_baseline,pending_human_review,False
C-AN202101271454940699,AN202101271454940699,300456.SZ,赛微电子,2021-01-27,performance,mixed,0.05,[],赛微电子:2020年年度业绩预告,"证券代码：300456        证券简称：赛微电子             公告编号：2021-014



              北京赛微电子股份有限公司

                 2020 年年度业绩预告

   本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有
虚假记载、误导性陈述或重大遗漏。",938a2afb635172,False,0.55,rule_baseline,pending_human_review,False
C-AN202101271454820872,AN202101271454820872,002023.SZ,海特高新,2021-01-28,performance,mixed,0.05,[],海特高新:2020年度业绩预告修正公告,"四、风险提示

    1、本次业绩预告是公司财务部门初步测算结果，具体财务数据以公司披露

的 2020 年度报告为准。",05c776a808b227,False,0.55,rule_baseline,pending_human_review,False
C-AN202101281455400584,AN202101281455400584,300045.SZ,华力创通,2021-01-28,performance,mixed,0.05,[],华力创通:2020年度业绩预告,"2、报告期内，公司围绕年度经营目标，在做好疫情防控同时，有序复工复
产，一手抓市场，一手抓交付，精细管理，重视研发，公司经营情况保持良好发
展态势。",68e18c91efeb39,False,0.55,rule_baseline,pending_human_review,False
C-AN202101281455415594,AN202101281455415594,300627.SZ,华测导航,2021-01-28,performance,mixed,0.05,[],华测导航:2020年年度业绩快报,"证券代码：300627         证券简称：华测导航                         公告编号：2021-006



              上海华测导航技术股份有限公司
                2020年年度业绩快报
   本公司及董事会全体成员保证信息披露的内容真实、准确、完整，不存在虚
假记载、误导性陈述或重大遗漏。",8eae031dc8146b,False,0.55,rule_baseline,pending_human_review,False
C-AN202101291455608278,AN202101291455608278,300053.SZ,航宇微,2021-01-29,performance,mixed,0.05,[],欧比特:2020年度业绩预告的补充暨修正公告,"四、其他相关说明及风险提示
  1、 本次业绩预告的修正是根据公司财务部门对经营情况初步测算做出，具
体财务数据将在2020年年度报告中予以详细披露；",8eff0386db6c52,False,0.55,rule_baseline,pending_human_review,False
C-AN202101291455771585,AN202101291455771585,300177.SZ,中海达,2021-01-29,performance,mixed,0.05,[],中海达:2020年度业绩预告,"证券代码：300177       证券简称：中海达            公告编号：2021-002

           广州中海达卫星导航技术股份有限公司

                  2020 年度业绩预告
   本公司及董事会全体成员保证信息披露的内容真实、准确、完整，
没有虚假记载、误导性陈述或重大遗漏。",b1d73e62feacc2,False,0.55,rule_baseline,pending_human_review,False
C-AN202101291455685953,AN202101291455685953,300424.SZ,航新科技,2021-01-29,performance,mixed,0.05,[],航新科技:2020年度业绩预告,"证券代码：300424     证券简称：航新科技             公告编号：2021-007



          广州航新航空科技股份有限公司

                 2020年度业绩预告

    本公司及董事会全体成员保证公告内容真实、准确和完整，

 公告不存在虚假记载、误导性陈述或者重大遗漏。",802f36d351df9a,False,0.55,rule_baseline,pending_human_review,False
C-AN202101291455659617,AN202101291455659617,300581.SZ,晨曦航空,2021-01-29,performance,mixed,0.05,[],晨曦航空:2020年度业绩预告,"证券代码：300581       证券简称：晨曦航空             公告编号：2021-006




              西安晨曦航空科技股份有限公司

                   2020 年度业绩预告



   本公司及董事会全体成员保证信息披露的内容真实、准确、完整，

没有虚假记载、误导性陈述或重大遗漏。",5f3f9bf8fcee76,False,0.55,rule_baseline,pending_human_review,False
C-AN202101291455672085,AN202101291455672085,000801.SZ,四川九洲,2021-01-30,performance,mixed,0.2,"[""空管""]",四川九洲:2020年度业绩预告,"2、空管业务：2020 年，军工市场交付进度加快，合同订单

同比增长。",4b50ddf66526ce,False,0.55,rule_baseline,pending_human_review,False
C-AN202101291455860239,AN202101291455860239,002413.SZ,雷科防务,2021-01-30,other_business,positive,0.0,[],雷科防务:关于签订募集资金三方、四方及五方监管协议的公告,"二、募集资金专项账户设立及监管协议签订情况

  为规范募集资金的管理和使用，保护投资者合法权益，根据《深圳证券交易
所股票上市规则》、《深圳证券交易所上市公司规范运作指引》等法律、法规和
规范性文件的规定、公司2020年第三次临时股东大会审议通过的《关于提请股东
大会授权董事会全权办理本次非公开发行股票相关事宜的议案》及其他关于公司
2020年度非公开发行A股股票方案的相关议案，公司及全资子公司北京理工雷科
电子信息技术有限公司（以下简称“理工雷科”）、全资孙公司理工雷科电子（天
津）有限公司（以下简称“雷科天津”）分别开设了募集资金专项账户。",f73ce1db2e9feb,False,0.55,rule_baseline,pending_human_review,False
C-AN202101291455797191,AN202101291455797191,300900.SZ,广联航空,2021-01-30,performance,mixed,0.15000000000000002,"[""无人机"", ""直升机""]",广联航空:2020年度业绩预告,"三、业绩变动原因说明
  报告期内，公司围绕年度整体发展战略目标，加强研发创新和新产品开发，
加大市场开拓投入力度，不断提升公司核心竞争力，克服疫情给生产经营活动带
来困难,实现公司归属于上市公司股东的净利润比上年同期快速增长，具体原因
如下：
  （一） 航空航天军工产业市场空间巨大，需求强劲
  公司主要业务的最终用户为军工企业或军方，受“十四五规划”中航天军工
产业政策落地影响，下游客户战斗机、直升机、无人机、导弹等领域装备订货量
快速增长，公司为之配套的零部件订单也随之实现大幅增长。",fb4d2fd4eee4f3,False,0.55,rule_baseline,pending_human_review,False
C-AN202101311456350586,AN202101311456350586,600038.SH,中直股份,2021-02-01,other_business,positive,0.30000000000000004,"[""直升机"", ""航空器""]",600038:中航直升机股份有限公司关于持股5%以上股东协议转让股份暨权益变动的提示性公告,"三、本次股份转让双方的基本情况
  （一）转让方
  企业名称：天津滨江直升机有限责任公司
  企业类型：有限责任公司
  注册地点：天津自贸试验区(空港经济区)中心大道 39 号
  法定代表人：王成钢
  统一社会信用代码：91120118MA06WDRW6H
  经营期限：2019 年 11 月 26 日至长期
  注册资本：人民币 20,000 万
  经营范围：许可项目：民用航空器（发动机、螺旋桨）生产；",de2e96fc944924,False,0.55,rule_baseline,pending_human_review,False
C-AN202102011457158689,AN202102011457158689,002025.SZ,航天电器,2021-02-02,other_business,positive,0.05,[],航天电器:关于控股子公司接受关联方财务资助暨签署附条件生效的《借款协议》的公告,"公司本次拟非公开发行不超过 6,388.61 万股股票（含本数），募集资金不超
过 146,562.00 万元，部分募集资金拟通过借款方式由控股子公司贵州航天林泉电
机有限公司（以下简称“林泉电机”）用于收购林泉航天电机有限公司（以下简
称“航天林泉”）经营性资产及建设“贵州林泉微特电机产业化建设项目”、由
苏州华旃航天电器有限公司（以下简称“苏州华旃”）用于建设“年产 3976.2
万只新基建等领域用连接器产业化建设项目”。",4e30166c08bb56,False,0.55,rule_baseline,pending_human_review,False
C-AN202102011457158675,AN202102011457158675,002025.SZ,航天电器,2021-02-02,legal_safety_risk,negative,0.22999999999999998,[],航天电器:关于公司最近五年被证券监管部门和证券交易所采取监管措施或处罚及整改情况的公告,"证券代码：002025    证券简称：航天电器   公告编号：2021-06



        贵州航天电器股份有限公司
  关于公司最近五年被证券监管部门和证券交易所采取监
      管措施或处罚及整改情况的公告



  本公司及董事会全体成员保证公告内容真实、准确和完整，没有虚假记载、

误导性陈述或者重大遗漏。",7418de9d3c71e3,False,0.55,rule_baseline,pending_human_review,False
C-AN202102021457722385,AN202102021457722385,002465.SZ,海格通信,2021-02-03,project_investment,positive,0.22999999999999998,[],海格通信:关于公司参与设立股权投资基金暨关联交易的公告,"一、交易概述
   （一）对外投资基本情况
   为加快落实“产业+资本”双轮驱动发展战略，广州海格通信集团股份有限
公司（以下简称“海格通信”或“公司”）拟以自有资金 4,950 万元参与设立海
纳科创（广州）股权投资基金合伙企业（有限合伙）（暂定名，具体以工商注册
登记为准，以下简称“投资基金”），围绕公司主营业务无线通信、北斗导航、
航空航天、软件与信息服务等领域筛选优质标的进行投资，助力上市公司做大做
强细分领域，实现以资本驱动产业发展的目的。",83a785e05a8877,False,0.55,rule_baseline,pending_human_review,False
C-AN202102041458693716,AN202102041458693716,300114.SZ,中航电测,2021-02-05,performance,mixed,0.05,[],中航电测:2020年度业绩快报,"三、与前次业绩预计的差异说明

  本次业绩快报披露的经营业绩与前次披露的《2020年度业绩预告》中预计的
业绩不存在差异。",dad3a5831c221d,False,0.55,rule_baseline,pending_human_review,False
C-AN202102041458632150,AN202102041458632150,688066.SH,*ST航图,2021-02-05,product_technology,positive,0.22999999999999998,[],688066:自愿披露关于公司获准导航电子地图制作甲级测绘资质增项的公告,"证券代码：688066    证券简称：航天宏图    公告编号：2021-004



         航天宏图信息技术股份有限公司
  自愿披露关于公司获准导航电子地图制作甲级测
         绘资质增项的公告

  本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述
或者重大遗漏，并对其内容的真实性、准确性和完整性依法承担法律责任。",02e50f3bd66321,False,0.55,rule_baseline,pending_human_review,False
C-AN202102051459193242,AN202102051459193242,600562.SH,国睿科技,2021-02-06,project_investment,positive,0.22999999999999998,[],600562:国睿科技股份有限公司关于子公司投标项目评标结果公示的公告,"近期，国睿科技股份有限公司（以下简称公司）接到全资子公司南京恩瑞特
实业有限公司（以下简称恩瑞特）通知，恩瑞特投标的“南京地铁 10 号线二期
工程信号系统采购项目”发布了评标结果，该结果在中国国际招标网
（www.chinabidding.com）上进行了公示，恩瑞特在该项目中标候选人中排名第
一位。",85c5ffca358870,False,0.55,rule_baseline,pending_human_review,False
C-AN202102051459210537,AN202102051459210537,600760.SH,中航沈飞,2021-02-06,other_business,positive,0.05,[],600760:中航沈飞股份有限公司董事会审计委员会关于公司与中航工业集团财务有限责任公司签署《金融服务框架协议》暨关联交易的审核意见,"中航沈飞股份有限公司            董事会审计委员会 2021 年第二次会议




      中航沈飞股份有限公司董事会审计委员会
关于公司与中航工业集团财务有限责任公司签署《金融服务框架
             协议》暨关联交易的审核意见


  公司董事会审计委员会对《关于公司与中航工业集团财务有限责任公

司签署<金融服务框架协议>暨关联交易的议案》进行了审议，并对该议案
发表以下书面审核意见：
  本次关联交易事项以公平、合理的市场价格和条件为原则，符合公司

和全体股东的利益，不会对公司未来的财务状况和经营成果产生不利影响，
不存在损害公司及其他股东特别是中小股东利益的情形，同意将该事项提
交公司第八届董事会第三十三次会议审议。",2dde9e0400a916,False,0.55,rule_baseline,pending_human_review,False
C-AN202102051459210538,AN202102051459210538,600760.SH,中航沈飞,2021-02-06,other_business,positive,0.05,[],600760:中航沈飞股份有限公司关于与中航工业集团财务有限责任公司修订并签署《金融服务框架协议》暨关联交易的公告,依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；,2c43c6c3fe8440,False,0.55,rule_baseline,pending_human_review,False
